,Price,Location,Bedrooms(s),Property Type
582,"₦ 2,000,000/year",Kubwa Abuja,2,Flat
583,"₦ 60,000/sqm",Idu Abuja,,Warehouse
584,"₦ 240,000,000/year",Lokogoma Abuja,,Luxury House
585,"₦ 5,000,000/year",Fo1 Axis Kubwa Abuja,3,Flat
586,"₦ 2,325,000/year",Area 10 Garki 1 Abuja,,Shops/office Space
587,"₦ 48,000,000/year",Open Tower Close To Next Cash And Carry Wuse 2 Abuja,,Office Space
588,"₦ 10,000,000/year",Around Vio Mabushi Abuja,4,Terrace Duplex
589,"₦ 1,600,000/year",Dawaki Trans Engineering Phase 3 Abuja,,Room Self Contained
590,"₦ 700,000/year","Phase 4 Off Black And White Secondary School Road, Kubwa Abuja",,Shops
591,"₦ 135,000,000/year",Maitama Abuja,,Commercial Building
592,"₦ 60,000,000/year",Maitama Abuja,,Duplex
593,"₦ 26,000,000/year","Gilmor At Jahi District, Jahi Abuja",4,Terraced Duplex
594,"₦ 26,000,000/year","Gilmor, Jahi District Jahi Abuja",4,Terrace Duplex
595,"₦ 13,000,000/year","Gilmore, Jahi Abuja",2,Furnished Block Of Flat
596,"₦ 6,000,000/year",Gwarinpa Abuja,,Shop Space
597,"₦ 8,000,000/year",Ikota Lekki Phase 2 Lekki Lagos,3,Terrace Duplex
598,"₦ 8,000,000/year",4th Avenue Gwarinpa Abuja,,Office Space
599,"₦ 180,000,000/year",Maitama Abuja,,Duplex
600,"₦ 130,000,000/year",Maitama Abuja,,Office Space/building For Rent
601,"₦ 60,000/sqm",Idu Abuja,,Warehouse
602,"₦ 192,000,000/year",Open Tower Close To Next Cash And Carry Wuse 2 Abuja,,Office Space
603,"₦ 5,500,000/year",Citec Estate Jabi Jabi Abuja,,House
604,"₦ 12,000,000/year","In Brochure Estate, Gwarinpa Abuja",4,Detached Duplex
605,"₦ 10,000,000/year",Guzape Main Guzape Abuja,4,Flat
606,"₦ 135,000,000/year",Maitama Abuja,,Commercial Building
607,"₦ 13,000,000/year",Gudu Expressway Gude Apo Abuja,,Garden
608,"₦ 6,000,000/year",Gwarinpa Abuja,,A Newly Built Plaza Shop Space
609,"₦ 20,866,000/year",Zone 6 Wuse 2 Abuja,,Commercial Space
610,"₦ 4,500,000/year",Kaura (games Village) Abuja,3,Flat
611,"₦ 10,000,000/year",Gaduwa Abuja,4,Terrace Duplex
612,"₦ 7,000,000/year",Close To Sunnyvale Estate Lokogoma Abuja,4,Newly Built Semi Detached Duplex With Bq
613,"₦ 7,000,000/year",Galadimawa Abuja,4,Semi Detached Duplex
614,"₦ 12,000,000/year",Guzape Abuja,4,Newly Built Duplex
615,"₦ 22,000,000/year",Katampe Extension Katampe Abuja,4,Newly Built Terrace Duplex
616,"₦ 9,000,000/year","River Park Estate, Lugbe Abuja",4,Detached Duplex
617,"₦ 13,000,000/year",Mabushi Abuja,4,Newly Built Terrace Duplex
618,"₦ 120,000,000",Behind Capital Hub Mabushi Abuja,2,Newly Built Flat
619,"₦ 25,000,000/year","Maitama District, Fct Abuja. Maitama Abuja",4,Newly Built Terrace Duplex
620,"₦ 10,000,000/year",Mabushi District Fct Abuja Mabushi Abuja,3,Apartment Plus Bq
621,"₦ 60,000,000/year","Area 11, Garki Fct Abuja. Area 11 Garki 1 Abuja",,Commercial Office Spaces
622,"₦ 15,000,000/year","Presidential Villa Estate, Asokoro District Fct Abuja Asokoro Abuja",2,Terrace Duplex Plus Bq
623,"₦ 9,000,000/year","Guzape District, Fct Abuja. Guzape Abuja",3,Flat
624,"₦ 30,000,000/year",Jabi Abuja,4,Terraced Duplex
625,"₦ 40,000,000/year",Guzape Guzape Abuja,4,Furnished Terrace Duplex
626,"₦ 25,000,000/year",Maitama Maitama Abuja,2,Newly Built 2bedrooms Apartment With Elevator
627,"₦ 10,000,000/year",Mabushi Abuja,2,Furnished Apartment
628,"₦ 12,000,000/year",Maitama Abuja,2,Fully Furnished Flat
629,"₦ 1,750,000/year",Gwarinpa Abuja,,A Well Finished Spacious Self Contain
630,"₦ 30,000,000/year",Wuse 2 Abuja,4,Semi Detached Duplex
631,"₦ 150,000,000/year",Maitama Main Abuja Maitama Abuja,6,6 Flat Of Flat
632,"₦ 18,000,000/year",Katampe Abuja,4,Terrace Duplex
633,"₦ 4,500,000/year","3rd Avenue, Gwarinpa Abuja",,A Standard Shop Space
634,"₦ 3,500,000/year",Brains And Hammers City Estate Life Camp Abuja,2,Apartment
635,"₦ 5,000,000/year",An Estate Off 3rd Avenue Gwarinpa Abuja,2,Flat
636,"₦ 25,000,000/year",4th Avenue By The Road Gwarinpa Abuja,,Restaurant
637,"₦ 8,000,000/year",Efab Gwarinpa Abuja,3,Bungalow
638,"₦ 12,000,000/year","Work And Housing Estate, Gwarinpa Abuja",4,A Newly Built Detached Duplex
639,"₦ 200,000/day",Lekki Conservation Centre Lekki Lagos,3,Apartment
640,"₦ 4,500,000/year",An Estate Off 3rd Avenue Gwarinpa Abuja,2,Flat
641,"₦ 1,500,000/year",Efab Estate / Gwarimpa Extension Gwarinpa Abuja,,Room Self Contained
642,"₦ 1,500,000/year",69 Road Gwarinpa Abuja,,Room Self Contain
643,"₦ 3,500,000/year",Brains And Hammers City Estate Life Camp Abuja,2,Apartment
644,"₦ 8,000,000/year",Efab Gwarinpa Abuja,3,Bungalow
645,"₦ 4,500,000/year","3rd Avenue, Gwarinpa Abuja",,A Standard Shop Space
646,"₦ 8,000,000/year",Efab Gwarinpa Abuja,3,Bungalow
647,"₦ 7,500,000/year",Off 3rd Avenue Gwarinpa Abuja,3,Block Of Flats
648,"₦ 6,000,000/year",By The Road Gwarinpa Abuja,,Space
649,"₦ 1,600,000/year",6th Avenue Gwarinpa Abuja,,Studio Apartment
650,"₦ 10,000,000/year",Ipent7 By Map Global Estate Gwarinpa Abuja,4,Newly Built Terrace Duplex With Bq
651,"₦ 8,000,000/year",Off 3rd Avenue Gwarinpa Abuja,4,Detached Duplex
652,"₦ 12,000,000",4th Avenue Gwarinpa Abuja,,A Very Spacious Shop Space (ground Floor)
653,"₦ 3,500,000/year",After Marcus Poly Gwarinpa Abuja,2,Flat
654,"₦ 20,000,000/year",Yellow Gate Kubwa Abuja,2,Flat With Bq
655,"₦ 4,000,000/year",Main Gwarinpa Abuja,2,Apartment
656,"₦ 15,000,000/year",Maitama Abuja,3,Apartment
657,"₦ 30,000,000/year",Guzape Abuja,5,Fully Detached Duplex
658,"₦ 5,000,000/year","Phase 4, F14 District, Fo1 Layout Kubwa Abuja",4,Semi Detached Duplex
659,"₦ 3,000,000/year",F01 By Living Faith Kubwa Abuja,3,Flat
660,"₦ 270,000,000",Lekki Phase 1 Lekki Lagos,2,Apartment
661,"₦ 8,000,000/year",Estate Idu Abuja,4,Newly Built Terrace Duplex With Bq
662,"₦ 3,000,000/year","F14 District, Kubwa Abuja",2,Newly Built Flat
663,"₦ 4,000,000/year","F14 District, Kubwa Abuja",3,Newly Built Flat
664,"₦ 3,500,000/year","F01 Tarred Road, Kubwa Abuja",2,Newly Built Flat
665,"₦ 1,000,000/year",Arab Road Kubwa Abuja,1,Apartment
666,"₦ 40,000,000/year",Maitama Maitama Abuja,3,Flat
667,"₦ 1,000,000/year",Pw Kubwa Abuja,1,Apartment
668,"₦ 35,000,000/year",Maitama Maitama Abuja,3,Flat
669,"₦ 600,000/year","2/2 , Phase 2 Site 2 Kubwa Abuja",,Room Self Contain
670,"₦ 30,000,000/year",Asokoro Abuja,,Duplex
671,"₦ 15,000,000/year",Life Camp Life Camp Abuja,4,Newly Built Terrace Duplex
672,"₦ 3,000,000/year",Life Camp Life Camp Abuja,2,Flat
673,"₦ 13,000,000/year",Life Camp Abuja,4,Terraced Duplex
674,"₦ 6,500,000/year",Life Camp Abuja,3,Newly Built Terrace Duplex
675,"₦ 6,500,000/year",Life Camp Abuja,3,Flat
676,"₦ 5,000,000/year",Life Camp Abuja,3,Spacious Flat
677,"₦ 5,500,000/year",Life Camp Abuja,2,Newly Built Terrace Duplex
678,"₦ 13,000,000/year",Asokoro Abuja,4,Terrace Duplex
679,"₦ 5,000,000/year",Life Camp Abuja,3,Terraced Duplex
680,"₦ 8,000,000",Idu Idu Abuja,5,Newly Built Duplex
681,"₦ 200,000/day",Lekki Conservation Centre Lekki Lagos,3,Apartment
682,"₦ 5,000,000/year",Life Camp Abuja,3,Newly Built Flat
683,"₦ 2,300,000/year",Around Crd Lugbe Abuja,2,Newly Built Flat
684,"₦ 3,500,000",Life Camp Main Life Camp Abuja,,Shop / Office Space
685,"₦ 15,000,000/year","Hortigraph Estate, Near Nizameya/turkish Hospital Idu Abuja",5,Furnished Semi Detached Duplex
686,"₦ 15,000,000/year",Mabushi Abuja,4,Newly Built Duplex
687,"₦ 13,000,000/year",Maitama Abuja,2,Furnished Flat
688,"₦ 10,000,000/year",Mabushi Abuja,4,Cozy 4bedroom Terrace Duplex
689,"$ 40,000/year",Jabi Abuja,4,Apartment
690,"$ 15,000/year",Lake Mall Jabi Abuja,,Newly Built & Furnished Apartments (all Inclusive)
691,"₦ 2,400,000/year",Wuse 1 Abuja,45,45sqm Office Space
692,"₦ 1,500,000",Garki 2 Abuja,40,40sqm Office/shop Space In Garki
693,"₦ 200,000,000/year",Close To Nnpc Guzape Abuja,24,Standard 24rooms Hotel+ Pallow
694,"₦ 35,000,000/year",Katampe Extension Katampe Abuja,6,Clean Detached Duplex With A Bq
695,"₦ 13,000,000/year",Jahi By Gilmore Jahi Abuja,4,Terrace Duplex
696,"₦ 15,000,000/year",Wuse 2 Abuja,,Shop
697,"₦ 55,300,000/year",Wuse 2 Abuja,,Shop Space
698,"₦ 120,000,000/year",Asokoro Abuja,8,8 Units Of Flat
699,"₦ 14,500,000/year",Wuse 2 Abuja,58,Office Space Measuring 58sqm
700,"₦ 30,000,000/year",Wuse 2 Abuja,100,100sqm Ground Floor Space
701,"$ 200,000/year",Maitama Abuja,6,"And Duplex , 4 Bqs"
702,"₦ 50,000,000/year",The Heart Of Victoria Island . Victoria Island Lagos,3,Ultra Luxury Flat&bq ( High Rise )
703,"₦ 19,500,000/year",Wuse 2 Abuja,78,Office Space Measuring 78sqm
704,"$ 60,000/year",Maitama Abuja,4,Furnished Terrace Duplex With Bq
705,"₦ 11,000,000/year",Wuse 2 Abuja,60,60sqm Showroom Space
706,"₦ 35,000,000/year",Wuse 2 Abuja,4,Semi Detached Duplex With Bq
707,"₦ 26,000,000/year",Maitama Abuja,2,Serviced Apartment
708,"₦ 7,500,000/year",Apo Dutse Abuja,3,Duplex
709,"₦ 1,200,000/year",Area 2 Garki 1 Abuja,,A Room Self Contained
710,"₦ 8,500,000/year",Kubwa Abuja,250,250sqm Shop/office Space
711,"₦ 12,000,000/year","Gilmore, Jahi Abuja",3,Newly Built Apartment With Bq
712,"₦ 20,000,000/year",Wuye Abuja,4,Newly Built Terrace Duplex With Bq
713,"₦ 6,000,000/year","Fo1, Kubwa Abuja",4,Newly Built Semi Detached Duplex
714,"₦ 2,500,000/year","Fo1, Kubwa Abuja",2,Standard Flat
715,"₦ 18,000,000/year","Gilmore, Jahi Abuja",4,Semi Detached Duplex With Bq
716,"₦ 2,500,000/year",Kubwa Abuja,,Newly Built Shop/office Space
717,"₦ 11,000,000/year","Gilmore, Jahi Abuja",2,Newly Built Penthouse
718,"₦ 2,700,000/year","Fo1, Kubwa Abuja",2,Standard Apartment
719,"₦ 9,000,000/year",Gwarinpa Abuja,3,New Detached Duplex With Bq
720,"₦ 4,000,000/year","River Park Estate, Lugbe Abuja",2,Newly Built Apartment
721,"₦ 6,000,000/year",Katampe Main Abuja,2,Newly Built Flat
722,"₦ 6,000,000/year","Fo1, Kubwa Abuja",2,Expatriate Standard Apartment
723,"₦ 245,000,000",Ogudu Lagos,2,2 Units Of Semi Detached Duplex With Bq
724,"₦ 5,000,000/year","Fo1, Kubwa Abuja",3,Newly Built Apartment
725,"₦ 30,000,000/year",Wuye Abuja,5,Newly Built Terraced Duplex With Bq
726,"₦ 9,000,000/year","Gilmore, Jahi Abuja",3,Apartment With Bq & Ac's
727,"₦ 4,600,000/year","Fo1, Kubwa Abuja",3,Spacious Apartment
728,"₦ 15,000,000/year",Wuye Abuja,4,Terraced Duplex With Bq
729,"₦ 3,500,000/year","Fo1, Kubwa Abuja",2,Modern Standard Apartment
730,"₦ 1,500,000","1st Avenue, Gwarinpa, Abuja Gwarinpa Abuja",,Shop For Rent
731,"₦ 7,000,000/year",Ahmadu Bello Way Gwarinpa Abuja,3,Newly Built Terrace With A Bq
732,"₦ 8,500,000/year",Gaduwa Gaduwa Abuja,4,Newly Built Terrace Duplex
733,"₦ 10,000,000/year",Off 3rd Avenue Gwarinpa Abuja,3,Furnished Terrace Attached Bq
734,"₦ 7,000,000/year",Ahmadu Bello Way Gwarinpa Abuja,3,Penthouse With A Bq
735,"₦ 70,000,000/year",Maitama Abuja,5,Fully Detached Duplex
736,"₦ 25,000,000/year","Asokoro , Abuja . Asokoro Abuja",4,Duplex
737,"₦ 10,000,000/year","Babagana Kingibi Street, Guzape Abuja",3,Newly Built Flat
738,"₦ 6,000,000/year","Utaco, Abuja . Utako Abuja",2,Flat
739,"₦ 23,000,000/year",Maitama Abuja,4,Newly Built Terrace Duplex
740,"₦ 6,000,000/year",Jabi Abuja,2,Standard Flat
741,"₦ 10,000,000/year",Guzape Abuja,6,6 Units Of Flat
742,"₦ 15,000,000/year",Maitama Abuja,4,Semi Detached Duplex
743,"₦ 10,000,000/year",Life Camp Abuja,3,Duplex
744,"₦ 22,500,000,000",Victoria Island Lagos,2965,2965sqm Office Building On 7 Floors
745,"₦ 40,000,000/year",Wuse 2 Abuja,4,Terrace & 1bq Duplex For Rent At Wuse 2
746,"₦ 15,000,000/year",Lugbe Abuja,5,Flat
747,"₦ 25,000,000/year",Life Camp Abuja,4,Semi Detached Duplex
748,"₦ 15,000,000/year",Gwarinpa Abuja,4,Semi Detached House At Gwarimpa For Rent
749,"₦ 10,000,000/year",Lugbe Abuja,4,Semidetached Duplex For Rent At Lugbe
750,"₦ 20,000,000",Life Camp Abuja,4,Fully Detached Duplex For Rent At Lifecamp
751,"₦ 6,000,000/year",Life Camp Abuja,2,Apartment For Rent At Lifecamp
752,"₦ 15,000,000/year",Guzape Abuja,4,Flat
753,"₦ 7,000,000/year",Gaduwa Abuja,,Commercial Space
754,"₦ 18,000,000/year",Jahi Abuja,4,& 1bq Terrace For Rent At Jahi Gilmore
755,"₦ 15,000,000/year",Wuye Abuja,4,Terrace Duplex & 1bq
756,"₦ 25,000,000/year",Katampe Abuja,4,Terraced Duplex With 1 Bq
757,"₦ 10,000,000/year",Kado Abuja,4,Terrace Duplex For Rent At Kado
758,"₦ 25,000,000/year",Katampe Extension Katampe Abuja,4,Terrace & 1bq For Rent At Katampe Extension
759,"₦ 8,000,000/year",Life Camp Abuja,4,Terrace & 1bq For Rent At Lifecamp
760,"₦ 13,000,000/year",Life Camp Abuja,4,Terrace Duplex At Lifecamp For Rent
761,"₦ 30,000,000/year",Guzape Abuja,3,Apartment Furnished At Guzape For Rent
762,"₦ 18,500,000/year",Maitama Abuja,4,Detached Duplex
763,"₦ 10,000,000/year",Gwarinpa Abuja,4,& 1bq Detached Duplex For Rent Gwarimpa
764,"₦ 20,000,000/year",Katampe Abuja,4,Terrace Duplex &1bq For Rent Katampe Ext
765,"₦ 105,000,000",Ajah Lekki Phase 2 Lekki Lagos,3,Terrace Duplex With Bq
766,"₦ 17,000,000/year",Wuse 2 Abuja,2,Furnished Apartment
767,"₦ 10,000,000/year",Jabi Abuja,4,Semi Detached Duplex
768,"₦ 40,000,000/year",Wuse 2 Abuja,4,Newly Built Terrace Duplex
769,"₦ 15,000,000/year",Jabi Abuja,4,Duplex
770,"₦ 25,000,000/year",Katampe Extension Katampe Abuja,4,Newly Built Terrace Duplex With Bq
771,"₦ 16,000,000/year",Katampe Katampe Main Abuja,4,Newly Built Terrace Duplex With Bq
772,"₦ 15,000,000/year",Gilmore Jahi Abuja,4,Terraced Duplex
773,"₦ 15,000,000/year",Katampe Extension Katampe Abuja,4,Newly Built Terrace Duplex
774,"₦ 9,000,000/year",Jabi Abuja,4,Newly Built Terraced Duplex
775,"₦ 6,000,000/year",Gwarinpa Abuja,,Ground Floor Shop Space
776,"₦ 17,000,000/year",Gilmore Jahi Abuja,4,Semi Detached Duplex
777,"₦ 20,000,000/year",Katampe Abuja,4,Terraced Duplex
778,"₦ 7,000,000/year",Lifecamp Berger Life Camp Abuja,4,Newly Built Terraced Duplex
779,"₦ 15,000,000/year","Jahi Gilmore, Jahi Abuja",4,Terraced Duplex With A Bq
780,"₦ 7,000,000/year",Life Camp Abuja,4,Newly Built Semi Detached Duplex
781,"₦ 12,000,000/year",Jahi Gilmore Jahi Abuja,4,Newly Built Terrace Duplex
782,"₦ 60,000,000/year",Maitama Abuja,4,Newly Built Terrace Duplex
783,"₦ 40,000,000/year",Asokoro Asokoro Abuja,4,Semi Detached Duplex
784,"₦ 17,000,000/year","Katampe Extension, Katampe Abuja",4,Terraced Duplex
785,"₦ 13,000,000/year",Gilmore Jahi Abuja,4,Terraced Duplex With Bq
786,"₦ 420,000,000",Toll Gate Chevron Lekki Lagos,5,Fully Detached Duplex
787,"₦ 2,000,000/year",G.r.a Gbessa Opposite Immigration Hq Sauka Airport Road Goza Lugbe Abuja,3,Newly Built Bungalow
788,"₦ 14,000,000/year",Apo Abuja,4,Terrace Duplex With Bq
789,"₦ 15,000,000/year",Apo Abuja,4,Terrace Duplex With Bq
790,"₦ 14,000,000/month",Brains & Hammers Estate. Life Camp Abuja,4,Furnished Apartment.
791,"₦ 60,000,000/year",Maitama Abuja,7,Mansion With Bq & Guest Chalet
792,"₦ 20,000,000/year",Off Aminu Kano Crescent Wuse 2 Abuja,4,Town House
793,"₦ 20,000,000/year",Durumi Abuja,4,Terraced Duplex
794,"₦ 30,000,000/year",Wuye Abuja,5,Newly Built Terraced Duplex With Bq
795,"₦ 3,500,000/year",Fo1 Kubwa Abuja,2,Modern Standard Flat
796,"₦ 13,000,000/year",Jahi Abuja,3,Newly Built Apartment
797,"₦ 6,000,000/year",Jahi Abuja,2,Spacious Apartment
798,"₦ 2,500,000/year",Fo1 Kubwa Abuja,2,Flat
799,"₦ 5,000,000/year",Fo1 Kubwa Abuja,3,Newly Built Flat
800,"₦ 11,000,000/year",Jahi Abuja,2,Newly Built Penthouse.
801,"₦ 2,500,000/year",Kubwa Abuja,,Newly Built Shop/office Space
802,"₦ 4,600,000/year",Fo1 Kubwa Abuja,3,Flat
803,"₦ 15,000,000/year",Jahi Abuja,4,Standard Terraced Duplex With Bq
804,"₦ 50,000,000/year",Maitama Abuja,4,Twin Duplex With Bq
805,"₦ 20,000,000/year",Wuye Abuja,4,Newly Built Terrace Duplex With Bq
806,"₦ 15,000,000/year",Wuye Abuja,4,Terraced Duplex With Bq
807,"₦ 9,000,000/year",Orisumibare Shasha Alimosho Lagos,19,Luxury 19 Rooms Hotel
808,"₦ 3,800,000/year",Gwarinpa Abuja,1,Newly Built Apartment
809,"₦ 4,000,000/year","River Park, Lugbe Abuja",2,Newly Built Flat
810,"₦ 2,700,000/year",Fo1 Kubwa Abuja,2,Apartment
811,"₦ 6,000,000/year",Fo1 Kubwa Abuja,2,Expatriate Standard Apartment
812,"₦ 15,000,000/year",Gwarinpa Abuja,3,Terrace Duplex
813,"₦ 3,500,000/year",Kubwa Abuja,3,Duplex
814,"₦ 3,000,000/year",Kubwa Abuja,3,Duplex
815,"₦ 20,000,000/year",Asokoro Abuja,4,Flat
816,"₦ 50,000,000/year",Maitama Abuja,6,Detached Duplex
817,"₦ 15,000,000/year",Jahi Abuja,4,Terrace Duplex
818,"₦ 35,000,000/year",Guzape Abuja,4,Apartment
819,"₦ 40,000,000/year",Wuse 2 Abuja,3,Apartment
820,"₦ 15,000,000/year",Mabushi Abuja,4,Newly Built Terrace Duplex With Bq
821,"₦ 40,000,000/year",Wuse 2 Abuja,3,Apartment + Bq
822,"₦ 30,000,000",Guzape Abuja,,Guzape Luxury
823,"₦ 199,000/year","22 Kumasi Crescent, Wuse 2, Abuja Wuse 2 Abuja",,Office Space
824,"₦ 170,000/day",Godab Gwarinpa Abuja,4,Apartment
825,"₦ 5,000,000/month","Godab Estate, Life Camp Abuja",4,Newly Built Furnished Terraced Duplex
826,"₦ 25,000,000/year",Guzape Abuja,5,Semi Detached Duplex
827,"₦ 20,000,000/year",Katampe Abuja,5,Detached Duplex
828,"₦ 20,000,000/year",Ikate Lekki Lagos,4,Newly Built Terrace Duplex
829,"₦ 25,000,000/year",Maitama Abuja,4,Terrace Duplex
830,"₦ 6,000,000",Gwarinpa Abuja,3,Bungalow
831,"₦ 18,000,000/year",Wuye Abuja,4,Terrace Duplex
832,"₦ 30,000,000",Wuye Abuja,5,Detached Duplex
833,"₦ 8,000,000",Idu Abuja,5,Semi Detached Duplex
834,"₦ 16,000,000/year",Guzape Abuja,2,Apartment
835,"₦ 18,000,000/year",Katampe Abuja,3,Flat
836,"₦ 30,000,000/year",Guzape Abuja,5,Tarraced Duplex
837,"₦ 8,000,000/year",Guzape Abuja,3,Apartment
838,"₦ 10,000,000/year",Jahi Abuja,3,Apartment
839,"₦ 6,000,000/year",Lokogoma Abuja,3,Tarraced Duplex
840,"₦ 6,000,000/year",Garki 1 Abuja,3,Apartment
841,"₦ 50,000,000/year",Gwarinpa Abuja,7,Fully Detached Duplex
842,"₦ 5,000,000/year",Kubwa Abuja,3,Flat
843,"₦ 15,000,000",Asokoro Abuja,2,Terrace Duplex
844,"₦ 3,000,000/year",Life Camp Abuja,2,Flat
845,"₦ 12,000,000",Jahi Abuja,3,Terrace Duplex
846,"₦ 20,000,000/year",Katampe Main Katampe Main Abuja,5,LuxurySemi Detached Duplex | Katampe Main
847,"₦ 5,000,000/year",Godab Axis Life Camp Abuja,3,Neatly Built Flat | Lifecamp
848,"₦ 10,000,000/year",Jahi Jahi Abuja,3,Neatly Built Flat | Jahi
849,"₦ 1,500,000/year",Orchid Road Orchid Lekki Lagos,,Shared Apartments
850,"₦ 15,000,000/year",Jahi Gilmore Jahi Abuja,4,Neatly Built Terrace Duplex + Bq
851,"₦ 12,000,000/year",Jahi Gilmore Jahi Abuja,3,Newly Built Flat + Bq | Jahi Gilmore
852,"₦ 2,500,000/year",Katampe Extension Katampe Extension Katampe Abuja,1,Neatly Built Flat | Katampe Extension
853,"₦ 14,000,000/year",Jahi Abuja,4,Newly Built Terrace Duplex + Bq | Jahi
854,"₦ 5,500,000/year",Dawaki Dawaki Abuja,3,Newly Built Flat | Dawaki
855,"₦ 10,000,000/year",Mabushi Mabushi Abuja,3,Newly Built s Flat + Bq | Mabushi
856,"₦ 7,000,000/year",Jahi Gilmore Jahi Abuja,3,Newly Built Flat | Jahi Gilmore
857,"₦ 15,000,000/year",Mabushi Mabushi Abuja,4,Newly Built Terrace Duplex + Bq | Mabushi
858,"₦ 15,000,000/year",Jahi Gilmore Jahi Abuja,4,Neatly Built Terrace Duplex + Bq | Jahi
859,"₦ 8,500,000",Katampe Main Katampe Main Abuja,3,Newly Built Flat + Bq | Katampe Main
860,"₦ 18,000,000/year",Jahi Gilmore Jahi Abuja,4,Neatly Built Semi Detached Duplex | Jahi
861,"₦ 12,000,000/year",Jahi Gilmore Jahi Abuja,3,Newly Built Flat + Bq |jahi Gilmore
862,"₦ 8,000,000/year",Gwarinpa Abuja,4,4 Units Of Terrace Duplex
863,"₦ 20,000,000/year",Katampe Extension Katampe Abuja,2,Well Furnished Flat
864,"₦ 9,000,000/year",Behind Paradise Estate Life Camp Abuja,2,Newly Built Furnished Flat
865,"₦ 7,000,000/year",Behind Paradise Estate Life Camp Abuja,1,Flat
866,"₦ 30,000,000/year",Katampe Extension Katampe Abuja,4,Standard Furnished Terraced Duplex
867,"₦ 25,000,000/year",Katampe Main Katampe Abuja,4,Fully Furnished Terraced Duplex With Bq
868,"₦ 10,000,000/year",Gilmore Jahi Abuja,3,Newly Built Flat
869,"₦ 35,000,000/year",Guzape Guzape Abuja,4,Fully Furnished 4bedroom Terrace Duplex
870,"₦ 280,000,000/sqm",Kolapo Ishola Gra Akobo Ibadan Oyo,4,Newly Built Detached Triplex With Bq And Acs
871,"₦ 9,000,000/year",Guzape Guzape Abuja,2,Standard 2bedroom Flat With Generator And Inverter
872,"₦ 25,000,000/year",Maitama Maitama Abuja,2,Newly Furnished 2bedroom Apartment
873,"₦ 8,000,000/year",Police Estate Karsana Abuja,4,Newly Built Detached Duplex With Bq
874,"₦ 3,000,000/year",Zone E Extension Road Closed To Sahad Hospital Apo Resettlement Apo Abuja,2,Renovated Flat
875,"₦ 10,000,000/year",Estate Gwarinpa Abuja,2,Furnished s Flat
876,"₦ 25,000,000/year",Wuse 2 Abuja,4,Semi Detached Duplex
877,"₦ 7,500,000/year",Life Camp Abuja,4,Flat
878,"₦ 12,000,000/year",Wuse 2 Abuja,58,58sqm Space
879,"₦ 30,000,000/year",Wuse 2 Abuja,4,Semi Detached Duplex
880,"₦ 19,000,000/year",Katampe Abuja,4,Detached Duplex With Bq
881,"₦ 19,000,000/year",Katampe Abuja,4,Detached Duplex With Bq
882,"₦ 5,000,000/year",Ochacho Axis Life Camp Abuja,3,Newly Built Flat | Lifecamp
883,"₦ 5,000,000/year",Dawaki Dawaki Abuja,3,Neatly Built Flat | Dawaki
884,"₦ 4,000,000/year",Mabushi Abuja,2,Newly Built Flat | Mabushi
885,"₦ 9,000,000/year",Jahi Gilmore Jahi Abuja,3,Neatly Built Flat + Bq | Jahi Gilmore
886,"₦ 10,000,000/year",Katampe Main Katampe Main Abuja,3,Fully Furnished Flat | Katampe Main
887,"₦ 15,000,000/year",Guzape Abuja,4,Newly Built Terrace Duplex With Bq
888,"₦ 20,000,000/year",Diplomatic Zone Asokoro Abuja,4,Semi Detached Duplex With Bq
889,"₦ 30,000,000/year",Naf Valley Estate Asokoro Abuja,4,Newly Built Semi Detached Duplex With Bq
890,"₦ 6,000,000/year",Gaduwa Abuja,4,Newly Built Semi Detached Duplex
891,"₦ 16,000,000/year",Banana Island Road Mojisola Onikoyi Estate Ikoyi Lagos,2,Furnished Flat
892,"₦ 12,000,000/year",Gaduwa Gaduwa Abuja,5,Terrace Duplex
893,"₦ 900,000/year",Besides Sahara 4 Estate Lokogoma Abuja,,Room Self Contained
894,"₦ 9,000,000/year",The District By Dantata Gwarinpa Abuja,4,4 Bedeoom Terrace Duplex
895,"₦ 20,000,000/year",Diplomatic Zone Katampe Extension Katampe Abuja,2,Furnished Apartment
896,"₦ 2,500,000/year",Utako Abuja,54,54sqm Office/shop Space
897,"₦ 1,900,000/year",Gra Gbessa Opposite Immigration Hq Airport Road Abuja Kyami Phase 5 Abuja,3,Luxury Bungalow Alone In A Fenced &
898,"₦ 7,000,000/year",Maitama Extension (mpape) Mpape Abuja,3,Newly Built Terrace Duplex | Maitama Ext
899,"₦ 12,000,000/year",Mabushi Mabushi Abuja,4,Newly Built Terrace Duplex + Bq | Mabushi
900,"₦ 25,000,000/year",4th Avenue Gwarinpa Abuja,5,Detached Duplex With Bq
901,"₦ 12,000,000/year",Nnpc Estate Life Camp Abuja,4,Fully Detached Duplex
902,"₦ 12,000,000/year",Along Airport Road Lugbe Lugbe Abuja,4,Detached House
903,"₦ 7,000,000/year",Jahi Abuja,2,Newly Built Flat | Jahi Gilmore
904,"₦ 3,000,000",Apo Resettlement Apo Abuja,2,Clean s Flat
905,"₦ 15,000,000/year",Jabi Lake Jabi Abuja,2,Fully Furnished And Serviced s
906,"₦ 15,000,000/year",Mabushi Abuja,4,Newly Built Terrace Duplex With Bq
907,"₦ 3,500,000/year",Maitama Extension Mpape Abuja,2,Newly Built Flat | Maitama Extension
