Property Type,Price (Per Annum),Location,Bedrooms,Property Category,Price (Converted to Naira),District,Price(Float)
flat / apartment,"₦15,000,000","Gilmore, Jahi, Abuja",2,Apartment,"₦15,000,000.00",Jahi,"15,000,000.00"
semi-detached duplex,"₦32,000,000","Olu Awotesu Street, Jabi, Abuja",3,Duplex,"₦32,000,000.00",Jabi,"32,000,000.00"
flat / apartment,"₦4,500,000","Zone 5, Wuse, Abuja",1,Apartment,"₦4,500,000.00",Wuse,"4,500,000.00"
terraced duplex,"₦25,000,000","Katampe (Main), Katampe, Abuja",4,Duplex,"₦25,000,000.00",Katampe,"25,000,000.00"
terraced duplex,"₦6,500,000","Dawaki, Gwarinpa, Abuja",3,Duplex,"₦6,500,000.00",Gwarinpa,"6,500,000.00"
flat / apartment,"₦4,000,000","Dawaki, Gwarinpa, Abuja",2,Apartment,"₦4,000,000.00",Gwarinpa,"4,000,000.00"
flat / apartment,"₦3,000,000","Dawaki, Gwarinpa, Abuja",2,Apartment,"₦3,000,000.00",Gwarinpa,"3,000,000.00"
flat / apartment,"₦2,800,000","Dawaki, Gwarinpa, Abuja",2,Apartment,"₦2,800,000.00",Gwarinpa,"2,800,000.00"
mini flat (room and parlour),"₦18,000,000","Maitama Main, Maitama 2, Maitama District, Abuja",1,Apartment,"₦18,000,000.00",Maitama,"18,000,000.00"
semi-detached duplex,"₦35,000,000","Wuse 2, Abuja",4,Duplex,"₦35,000,000.00",Wuse,"35,000,000.00"
semi-detached duplex,"₦30,000,000","Jabi, Abuja",4,Duplex,"₦30,000,000.00",Jabi,"30,000,000.00"
detached bungalow,"₦18,000,000","Estate, Kado, Abuja",3,Bungalow,"₦18,000,000.00",Kado,"18,000,000.00"
flat / apartment,"₦12,000,000","Guzape District, Abuja",3,Apartment,"₦12,000,000.00",Guzape,"12,000,000.00"
terraced duplex,"₦10,000,000","Kado, Abuja",3,Duplex,"₦10,000,000.00",Kado,"10,000,000.00"
detached duplex,"₦50,000,000","Maitama District, Abuja",8,Duplex,"₦50,000,000.00",Maitama,"50,000,000.00"
detached duplex,"₦50,000,000","Maitama District, Abuja",6,Duplex,"₦50,000,000.00",Maitama,"50,000,000.00"
terraced duplex,"₦25,000,000","Asokoro District, Abuja",4,Duplex,"₦25,000,000.00",Asokoro,"25,000,000.00"
semi-detached duplex,"₦14,000,000","Larext Estate, Apo, Abuja",5,Duplex,"₦14,000,000.00",Apo,"14,000,000.00"
semi-detached duplex,"₦50,000,000","Maitama Main, Maitama District, Abuja",4,Duplex,"₦50,000,000.00",Maitama,"50,000,000.00"
semi-detached duplex,"₦32,000,000","Olu Awotesu Street, Jabi, Abuja",3,Duplex,"₦32,000,000.00",Jabi,"32,000,000.00"
semi-detached duplex,"₦25,000,000","Diplomatic Zone, Katampe Extension, Katampe, Abuja",4,Duplex,"₦25,000,000.00",Katampe,"25,000,000.00"
terraced duplex,"₦25,000,000","Katampe (Main), Katampe, Abuja",4,Duplex,"₦25,000,000.00",Katampe,"25,000,000.00"
mini flat (room and parlour),"₦2,500,000","News Engineering, Dawaki, Gwarinpa, Abuja",1,Apartment,"₦2,500,000.00",Gwarinpa,"2,500,000.00"
flat / apartment,"₦10,000,000","Kado, Abuja",3,Apartment,"₦10,000,000.00",Kado,"10,000,000.00"
flat / apartment,"₦10,000,000","By Peace Apartment, Jahi, Abuja",3,Apartment,"₦10,000,000.00",Jahi,"10,000,000.00"
terraced duplex,"₦15,000,000","Life Camp, Abuja",4,Duplex,"₦15,000,000.00",Life Camp,"15,000,000.00"
flat / apartment,"₦5,000,000","Off Adetokumbo Ademola, Wuse 2, Abuja",2,Apartment,"₦5,000,000.00",Wuse,"5,000,000.00"
terraced duplex,"₦30,000,000","Asokoro District, Abuja",4,Duplex,"₦30,000,000.00",Asokoro,"30,000,000.00"
flat / apartment,"₦5,000,000","By Area 1, Durumi, Abuja",2,Apartment,"₦5,000,000.00",Durumi,"5,000,000.00"
detached duplex,"₦30,000,000","Jabi, Abuja",4,Duplex,"₦30,000,000.00",Jabi,"30,000,000.00"
semi-detached duplex,"₦25,000,000","Wuse 2, Abuja",4,Duplex,"₦25,000,000.00",Wuse,"25,000,000.00"
terraced duplex,"₦10,000,000","Kado, Abuja",3,Duplex,"₦10,000,000.00",Kado,"10,000,000.00"
detached duplex,"₦7,000,000","Airport Road, Lugbe District, Abuja",5,Duplex,"₦7,000,000.00",Lugbe,"7,000,000.00"
terraced duplex,"₦25,000,000","Guzape District, Abuja",5,Duplex,"₦25,000,000.00",Guzape,"25,000,000.00"
terraced duplex,"₦18,000,000","Guzape District, Abuja",4,Duplex,"₦18,000,000.00",Guzape,"18,000,000.00"
semi-detached duplex,"₦32,000,000","Olu Awotesu Street, Jabi, Abuja",3,Duplex,"₦32,000,000.00",Jabi,"32,000,000.00"
flat / apartment,"₦6,000,000","Lusaka Street, Zone 6, Wuse, Abuja",2,Apartment,"₦6,000,000.00",Wuse,"6,000,000.00"
mini flat (room and parlour),"₦4,500,000","Katampe Extension, Katampe, Abuja",1,Apartment,"₦4,500,000.00",Katampe,"4,500,000.00"
terraced duplex,"₦12,000,000","Mabushi, Abuja",4,Duplex,"₦12,000,000.00",Mabushi,"12,000,000.00"
terraced duplex,"₦25,000,000","Jabi, Abuja",4,Duplex,"₦25,000,000.00",Jabi,"25,000,000.00"
flat / apartment,"₦10,000,000","Jahi, Abuja",3,Apartment,"₦10,000,000.00",Jahi,"10,000,000.00"
terraced duplex,"₦10,000,000","Kado, Abuja",3,Duplex,"₦10,000,000.00",Kado,"10,000,000.00"
flat / apartment,"₦4,500,000","Idu Industrial, Abuja",2,Apartment,"₦4,500,000.00",Idu,"4,500,000.00"
flat / apartment,"₦15,000,000","Maitama District, Abuja",3,Apartment,"₦15,000,000.00",Maitama,"15,000,000.00"
detached duplex,"₦60,000,000","Maitama District, Abuja",5,Duplex,"₦60,000,000.00",Maitama,"60,000,000.00"
detached duplex,"₦30,000,000","Asokoro District, Abuja",4,Duplex,"₦30,000,000.00",Asokoro,"30,000,000.00"
flat / apartment,"₦8,000,000","Jahi, Abuja",3,Apartment,"₦8,000,000.00",Jahi,"8,000,000.00"
flat / apartment,"₦15,000,000","Maitama District, Abuja",3,Apartment,"₦15,000,000.00",Maitama,"15,000,000.00"
flat / apartment,"₦10,000,000","Jahi, Abuja",3,Apartment,"₦10,000,000.00",Jahi,"10,000,000.00"
terraced duplex,"₦50,000,000","Maitama District, Abuja",4,Duplex,"₦50,000,000.00",Maitama,"50,000,000.00"
flat / apartment,"₦4,500,000","Wuse 2, Abuja",2,Apartment,"₦4,500,000.00",Wuse,"4,500,000.00"
flat / apartment,"₦6,500,000","By Family Worship, Wuye, Abuja",2,Apartment,"₦6,500,000.00",Wuye,"6,500,000.00"
flat / apartment,"₦6,500,000","Jabi Main, Jabi, Abuja",3,Apartment,"₦6,500,000.00",Jabi,"6,500,000.00"
semi-detached duplex,"₦32,000,000","Olu Awotesu Street, Jabi, Abuja",3,Duplex,"₦32,000,000.00",Jabi,"32,000,000.00"
terraced duplex,"₦25,000,000","Jabi, Abuja",4,Duplex,"₦25,000,000.00",Jabi,"25,000,000.00"
flat / apartment,"₦13,500,000","Wuse 2, Abuja",2,Apartment,"₦13,500,000.00",Wuse,"13,500,000.00"
flat / apartment,"₦12,000,000","Mabushi, Abuja",4,Apartment,"₦12,000,000.00",Mabushi,"12,000,000.00"
detached duplex,"₦50,000,000","Maitama District, Abuja",6,Duplex,"₦50,000,000.00",Maitama,"50,000,000.00"
terraced duplex,"₦15,000,000","Gwarinpa, Abuja",4,Duplex,"₦15,000,000.00",Gwarinpa,"15,000,000.00"
terraced duplex,"₦8,000,000","Idu Industrial, Abuja",4,Duplex,"₦8,000,000.00",Idu,"8,000,000.00"
house,"₦15,000,000","Life Camp, Abuja",3,House,"₦15,000,000.00",Life Camp,"15,000,000.00"
detached duplex,"₦550,000,000","Gwarimpa Extenion, Gwarinpa, Abuja",7,Duplex,"₦550,000,000.00",Gwarinpa,"550,000,000.00"
terraced duplex,"₦10,000,000","Main Kado , Tarred Road .., Kado, Abuja",3,Duplex,"₦10,000,000.00",Kado,"10,000,000.00"
terraced duplex,"₦10,000,000","Kado, Abuja",3,Duplex,"₦10,000,000.00",Kado,"10,000,000.00"
detached duplex,"₦50,000,000","Maitama District, Abuja",6,Duplex,"₦50,000,000.00",Maitama,"50,000,000.00"
flat / apartment,"₦4,500,000","Area 1 Axis., Durumi, Abuja",2,Apartment,"₦4,500,000.00",Durumi,"4,500,000.00"
terraced duplex,"₦10,000,000","Kado, Abuja",3,Duplex,"₦10,000,000.00",Kado,"10,000,000.00"
terraced duplex,"₦140,000,000","Guzape District, Abuja",4,Duplex,"₦140,000,000.00",Guzape,"140,000,000.00"
mini flat (room and parlour),"₦2,500,000","Kaura, Abuja",1,Apartment,"₦2,500,000.00",Kaura,"2,500,000.00"
terraced duplex,"₦13,000,000","Life Camp District, Life Camp, Abuja",5,Duplex,"₦13,000,000.00",Life Camp,"13,000,000.00"
detached bungalow,"₦7,000,000","Minister Quarters, Life Camp, Abuja",4,Bungalow,"₦7,000,000.00",Life Camp,"7,000,000.00"
flat / apartment,"₦4,500,000","By Area1, Durumi, Abuja",2,Apartment,"₦4,500,000.00",Durumi,"4,500,000.00"
semi-detached duplex,"₦20,000,000","Kado, Abuja",4,Duplex,"₦20,000,000.00",Kado,"20,000,000.00"
terraced duplex,"₦13,000,000","Guzape District, Abuja",4,Duplex,"₦13,000,000.00",Guzape,"13,000,000.00"
semi-detached duplex,"₦32,000,000","Olu Awotesu Street, Jabi, Abuja",3,Duplex,"₦32,000,000.00",Jabi,"32,000,000.00"
flat / apartment,"₦6,000,000","Katampe (Main), Katampe, Abuja",2,Apartment,"₦6,000,000.00",Katampe,"6,000,000.00"
terraced duplex,"₦7,000,000","By Stella Maris, Life Camp, Abuja",2,Duplex,"₦7,000,000.00",Life Camp,"7,000,000.00"
flat / apartment,"₦35,000,000","Wuse 2, Abuja",3,Apartment,"₦35,000,000.00",Wuse,"35,000,000.00"
terraced duplex,"₦30,000,000","Asokoro District, Abuja",5,Duplex,"₦30,000,000.00",Asokoro,"30,000,000.00"
terraced duplex,"₦25,000,000","Alvan Ikoku Way, Maitama District, Abuja",4,Duplex,"₦25,000,000.00",Maitama,"25,000,000.00"
house,"₦6,000,000","Von, Lugbe District, Abuja",3,House,"₦6,000,000.00",Lugbe,"6,000,000.00"
flat / apartment,"₦5,000,000","Area 1, Close To Stella Maris School, Durumi, Abuja",2,Apartment,"₦5,000,000.00",Durumi,"5,000,000.00"
detached duplex,"₦50,000,000","Maitama District, Abuja",6,Duplex,"₦50,000,000.00",Maitama,"50,000,000.00"
detached bungalow,"₦15,000,000","Life Camp, Abuja",3,Bungalow,"₦15,000,000.00",Life Camp,"15,000,000.00"
flat / apartment,"₦8,000,000","Gilmore, Jahi, Abuja",3,Apartment,"₦8,000,000.00",Jahi,"8,000,000.00"
detached bungalow,"₦15,000,000","Roundabout By Airforce Estate, Life Camp, Abuja",3,Bungalow,"₦15,000,000.00",Life Camp,"15,000,000.00"
detached bungalow,"₦15,000,000","Life Camp, Abuja",3,Bungalow,"₦15,000,000.00",Life Camp,"15,000,000.00"
terraced duplex,"₦15,000,000","Guzape District, Abuja",4,Duplex,"₦15,000,000.00",Guzape,"15,000,000.00"
flat / apartment,"₦5,000,000","River Park Estate, Lugbe District, Abuja",3,Apartment,"₦5,000,000.00",Lugbe,"5,000,000.00"
terraced duplex,"₦15,000,000","3rd Avenue, Gwarinpa, Abuja",3,Duplex,"₦15,000,000.00",Gwarinpa,"15,000,000.00"
terraced duplex,"₦15,000,000","Guzape District, Abuja",4,Duplex,"₦15,000,000.00",Guzape,"15,000,000.00"
flat / apartment,"₦20,000,000","Jabi, Abuja",2,Apartment,"₦20,000,000.00",Jabi,"20,000,000.00"
semi-detached duplex,"₦32,000,000","Olu Awotesu Street, Jabi, Abuja",3,Duplex,"₦32,000,000.00",Jabi,"32,000,000.00"
terraced duplex,"₦15,000,000","Katampe Extension, Katampe, Abuja",4,Duplex,"₦15,000,000.00",Katampe,"15,000,000.00"
terraced duplex,"₦15,000,000","Katampe Extension, Katampe, Abuja",5,Duplex,"₦15,000,000.00",Katampe,"15,000,000.00"
flat / apartment,"₦2,500,000","Lugbe District, Abuja",2,Apartment,"₦2,500,000.00",Lugbe,"2,500,000.00"
terraced duplex,"₦13,000,000","Gilmore, Jahi, Abuja",4,Duplex,"₦13,000,000.00",Jahi,"13,000,000.00"
detached duplex,"₦10,000,000","River Park Estate, Lugbe District, Abuja",4,Duplex,"₦10,000,000.00",Lugbe,"10,000,000.00"
detached duplex,"₦35,000,000","Wuye, Abuja",4,Duplex,"₦35,000,000.00",Wuye,"35,000,000.00"
semi-detached duplex,"₦25,000,000","Garlic 11, Garki, Abuja",9,Duplex,"₦25,000,000.00",Garki,"25,000,000.00"
detached duplex,"₦60,000,000","Main Asokoro, Asokoro District, Abuja",20,Duplex,"₦60,000,000.00",Asokoro,"60,000,000.00"
flat / apartment,"₦2,000,000","Life Camp, Abuja",1,Apartment,"₦2,000,000.00",Life Camp,"2,000,000.00"
terraced duplex,"₦15,000,000","Guzape Main, Guzape District, Abuja",4,Duplex,"₦15,000,000.00",Guzape,"15,000,000.00"
semi-detached duplex,"₦35,000,000","Diplomatic Zone, Asokoro District, Abuja",5,Duplex,"₦35,000,000.00",Asokoro,"35,000,000.00"
semi-detached duplex,"₦35,000,000","Jabi, Abuja",4,Duplex,"₦35,000,000.00",Jabi,"35,000,000.00"
flat / apartment,"₦4,000,000","Life Camp, Abuja",2,Apartment,"₦4,000,000.00",Life Camp,"4,000,000.00"
terraced duplex,"₦12,000,000","Dakibiyu, Jabi, Abuja",4,Duplex,"₦12,000,000.00",Jabi,"12,000,000.00"
terraced duplex,"₦8,500,000","Airport Road, Jabi, Abuja",3,Duplex,"₦8,500,000.00",Jabi,"8,500,000.00"
flat / apartment,"₦5,000,000","Kaura District, Kaura, Abuja",3,Apartment,"₦5,000,000.00",Kaura,"5,000,000.00"
semi-detached duplex,"₦32,000,000","Olu Awotesu Street, Jabi, Abuja",3,Duplex,"₦32,000,000.00",Jabi,"32,000,000.00"
flat / apartment,"₦8,000,000","By Gilmor, Jahi, Abuja",3,Apartment,"₦8,000,000.00",Jahi,"8,000,000.00"
flat / apartment,"₦7,000,000","Peace Estate, Life Camp, Abuja",2,Apartment,"₦7,000,000.00",Life Camp,"7,000,000.00"
flat / apartment,"₦6,000,000","By American International School, Durumi, Abuja",3,Apartment,"₦6,000,000.00",Durumi,"6,000,000.00"
mini flat (room and parlour),"₦4,000,000","Prince And Princess Estate, Kaura, Abuja",1,Apartment,"₦4,000,000.00",Kaura,"4,000,000.00"
terraced duplex,"₦13,000,000","Jahi, Abuja",4,Duplex,"₦13,000,000.00",Jahi,"13,000,000.00"
detached duplex,"₦50,000,000","Maitama District, Abuja",5,Duplex,"₦50,000,000.00",Maitama,"50,000,000.00"
flat / apartment,"$24,500","Jabi, Abuja",3,Apartment,"₦33,196,765.00",Jabi,"33,196,765.00"
terraced duplex,"₦13,000,000","Gilmore, Jahi, Abuja",4,Duplex,"₦13,000,000.00",Jahi,"13,000,000.00"
semi-detached duplex,"₦15,000,000","Gwarinpa, Abuja",4,Duplex,"₦15,000,000.00",Gwarinpa,"15,000,000.00"
flat / apartment,"₦20,000,000","Maitama District, Abuja",3,Apartment,"₦20,000,000.00",Maitama,"20,000,000.00"
terraced duplex,"₦12,000,000","Life Camp, Life Camp, Abuja",4,Duplex,"₦12,000,000.00",Life Camp,"12,000,000.00"
terraced duplex,"₦8,000,000","Gwarinpa Extension- Karsana, Gwarinpa, Abuja",3,Duplex,"₦8,000,000.00",Gwarinpa,"8,000,000.00"
flat / apartment,"₦5,500,000","By Games-village Estate, Kaura, Abuja",3,Apartment,"₦5,500,000.00",Kaura,"5,500,000.00"
detached duplex,"₦10,000,000","River Park Estate, Airport Road, Lugbe District, Abuja",4,Duplex,"₦10,000,000.00",Lugbe,"10,000,000.00"
semi-detached duplex,"₦32,000,000","Olu Awotesu Street, Jabi, Abuja",3,Duplex,"₦32,000,000.00",Jabi,"32,000,000.00"
terraced duplex,"₦13,000,000","Katampe Extension, Katampe, Abuja",4,Duplex,"₦13,000,000.00",Katampe,"13,000,000.00"
terraced duplex,"₦13,000,000","Katampe Extension, Katampe, Abuja",4,Duplex,"₦13,000,000.00",Katampe,"13,000,000.00"
flat / apartment,"₦13,000,000","Guzape District, Abuja",3,Apartment,"₦13,000,000.00",Guzape,"13,000,000.00"
flat / apartment,"₦7,000,000","Jahi, Abuja",2,Apartment,"₦7,000,000.00",Jahi,"7,000,000.00"
detached duplex,"₦50,000,000","Maitama District, Abuja",5,Duplex,"₦50,000,000.00",Maitama,"50,000,000.00"
detached duplex,"₦20,000,000","Kado, Abuja",5,Duplex,"₦20,000,000.00",Kado,"20,000,000.00"
flat / apartment,"₦15,000,000","Guzape District, Abuja",5,Apartment,"₦15,000,000.00",Guzape,"15,000,000.00"
terraced duplex,"₦16,000,000","Naf Valley, Asokoro District, Abuja",4,Duplex,"₦16,000,000.00",Asokoro,"16,000,000.00"
house,"₦30,000,000","Maitama District, Abuja",4,House,"₦30,000,000.00",Maitama,"30,000,000.00"
flat / apartment,"₦6,000,000","Mabushi, Abuja",3,Apartment,"₦6,000,000.00",Mabushi,"6,000,000.00"
flat / apartment,"₦10,000,000","Wuse 2, Abuja",2,Apartment,"₦10,000,000.00",Wuse,"10,000,000.00"
flat / apartment,"₦4,000,000","Close To Dunamis Church Headquarters, Lugbe District, Abuja",2,Apartment,"₦4,000,000.00",Lugbe,"4,000,000.00"
detached bungalow,"₦18,000,000","Kado, Abuja",3,Bungalow,"₦18,000,000.00",Kado,"18,000,000.00"
terraced duplex,"₦25,000,000","Maitama District, Abuja",4,Duplex,"₦25,000,000.00",Maitama,"25,000,000.00"
terraced duplex,"₦9,500,000","Jabi, Abuja",4,Duplex,"₦9,500,000.00",Jabi,"9,500,000.00"
detached bungalow,"₦18,000,000","Kado, Abuja",3,Bungalow,"₦18,000,000.00",Kado,"18,000,000.00"
flat / apartment,"₦12,000,000","Life Camp, Abuja",4,Apartment,"₦12,000,000.00",Life Camp,"12,000,000.00"
semi-detached duplex,"₦32,000,000","Olu Awotesu Street, Jabi, Abuja",3,Duplex,"₦32,000,000.00",Jabi,"32,000,000.00"
flat / apartment,"₦8,000,000","Area 10, Garki, Abuja",3,Apartment,"₦8,000,000.00",Garki,"8,000,000.00"
flat / apartment,"₦8,000,000","Katampe (Main), Katampe, Abuja",3,Apartment,"₦8,000,000.00",Katampe,"8,000,000.00"
flat / apartment,"₦3,500,000","Katampe (Main), Katampe, Abuja",1,Apartment,"₦3,500,000.00",Katampe,"3,500,000.00"
flat / apartment,"₦10,000,000","Katampe (Main), Katampe, Abuja",2,Apartment,"₦10,000,000.00",Katampe,"10,000,000.00"
semi-detached duplex,"₦8,000,000","Idu Industrial, Abuja",4,Duplex,"₦8,000,000.00",Idu,"8,000,000.00"
terraced duplex,"₦15,000,000","Close To The New Bridge, Wuye, Abuja",4,Duplex,"₦15,000,000.00",Wuye,"15,000,000.00"
detached duplex,"₦40,000,000","Asokoro District, Abuja",6,Duplex,"₦40,000,000.00",Asokoro,"40,000,000.00"
detached duplex,"₦50,000,000","Maitama District, Abuja",6,Duplex,"₦50,000,000.00",Maitama,"50,000,000.00"
detached duplex,"₦80,000,000","Asokoro District, Abuja",9,Duplex,"₦80,000,000.00",Asokoro,"80,000,000.00"
detached duplex,"₦20,000,000","Guzape District, Abuja",4,Duplex,"₦20,000,000.00",Guzape,"20,000,000.00"
semi-detached bungalow,"₦6,500,000","Guzape District, Abuja",2,Bungalow,"₦6,500,000.00",Guzape,"6,500,000.00"
terraced duplex,"₦18,000,000","Guzape District, Abuja",4,Duplex,"₦18,000,000.00",Guzape,"18,000,000.00"
flat / apartment,"₦3,000,000","By American International School, Durumi, Abuja",1,Apartment,"₦3,000,000.00",Durumi,"3,000,000.00"
mini flat (room and parlour),"₦6,000,000","Maitama District, Abuja",1,Apartment,"₦6,000,000.00",Maitama,"6,000,000.00"
semi-detached duplex,"₦12,000,000","Kado, Abuja",4,Duplex,"₦12,000,000.00",Kado,"12,000,000.00"
terraced duplex,"₦13,000,000","Gilmore, Jahi, Abuja",5,Duplex,"₦13,000,000.00",Jahi,"13,000,000.00"
flat / apartment,"₦10,000,000","Guzape District, Abuja",3,Apartment,"₦10,000,000.00",Guzape,"10,000,000.00"
semi-detached duplex,"₦32,000,000","Olu Awotesu Street, Jabi, Abuja",3,Duplex,"₦32,000,000.00",Jabi,"32,000,000.00"
terraced duplex,"₦13,000,000","Katampe Extension, Katampe, Abuja",4,Duplex,"₦13,000,000.00",Katampe,"13,000,000.00"
terraced duplex,"₦13,000,000","Diplomatic Zone, Katampe Extension, Katampe, Abuja",4,Duplex,"₦13,000,000.00",Katampe,"13,000,000.00"
mini flat (room and parlour),"₦6,500,000","Katampe (Main), Katampe, Abuja",1,Apartment,"₦6,500,000.00",Katampe,"6,500,000.00"
detached duplex,"₦15,000,000","Maitama 2, Maitama District, Abuja",4,Duplex,"₦15,000,000.00",Maitama,"15,000,000.00"
flat / apartment,"₦10,000,000","Jahi, Abuja",3,Apartment,"₦10,000,000.00",Jahi,"10,000,000.00"
detached duplex,"₦45,000,000","Gwarinpa District, Gwarinpa, Abuja",6,Duplex,"₦45,000,000.00",Gwarinpa,"45,000,000.00"
flat / apartment,"₦10,000,000","Jahi, Abuja",4,Apartment,"₦10,000,000.00",Jahi,"10,000,000.00"
detached duplex,"₦20,000,000","Jabi, Abuja",5,Duplex,"₦20,000,000.00",Jabi,"20,000,000.00"
detached duplex,"₦10,000,000","Tarred Road, Jahi, Abuja",4,Duplex,"₦10,000,000.00",Jahi,"10,000,000.00"
terraced duplex,"₦13,000,000","Guzape District, Abuja",4,Duplex,"₦13,000,000.00",Guzape,"13,000,000.00"
flat / apartment,"₦10,000,000","By Jahi, Kado, Abuja",2,Apartment,"₦10,000,000.00",Jahi,"10,000,000.00"
terraced duplex,"₦15,000,000","Off 3rd Avenue, Gwarinpa, Abuja",4,Duplex,"₦15,000,000.00",Gwarinpa,"15,000,000.00"
semi-detached duplex,"₦25,000,000","Asokoro District, Abuja",4,Duplex,"₦25,000,000.00",Asokoro,"25,000,000.00"
detached duplex,"₦15,000,000","Guzape District, Abuja",4,Duplex,"₦15,000,000.00",Guzape,"15,000,000.00"
flat / apartment,"₦10,000,000","Wuye, Abuja",3,Apartment,"₦10,000,000.00",Wuye,"10,000,000.00"
detached bungalow,"₦75,000,000","Asokoro District, Abuja",5,Bungalow,"₦75,000,000.00",Asokoro,"75,000,000.00"
flat / apartment,"₦7,000,000","Idu Industrial, Abuja",3,Apartment,"₦7,000,000.00",Idu,"7,000,000.00"
flat / apartment,"₦7,000,000","Gilmore, Jahi, Abuja",2,Apartment,"₦7,000,000.00",Jahi,"7,000,000.00"
terraced duplex,"₦13,000,000","Jahi, Abuja",4,Duplex,"₦13,000,000.00",Jahi,"13,000,000.00"
flat / apartment,"₦7,500,000","Jedo Estate Road, Lugbe District, Abuja",2,Apartment,"₦7,500,000.00",Lugbe,"7,500,000.00"
semi-detached duplex,"₦32,000,000","Olu Awotesu Street, Jabi, Abuja",3,Duplex,"₦32,000,000.00",Jabi,"32,000,000.00"
detached duplex,"₦60,000,000","Maitama District, Abuja",5,Duplex,"₦60,000,000.00",Maitama,"60,000,000.00"
flat / apartment,"₦4,000,000","Kaura, Abuja",2,Apartment,"₦4,000,000.00",Kaura,"4,000,000.00"
mini flat (room and parlour),"₦2,500,000","Kaura, Abuja",1,Apartment,"₦2,500,000.00",Kaura,"2,500,000.00"
terraced duplex,"₦3,500,000","Behind Cider Crest, Apo, Abuja",2,Duplex,"₦3,500,000.00",Apo,"3,500,000.00"
flat / apartment,"₦5,000,000","Durumi, Abuja",3,Apartment,"₦5,000,000.00",Durumi,"5,000,000.00"
terraced duplex,"₦13,000,000","Guzape District, Abuja",4,Duplex,"₦13,000,000.00",Guzape,"13,000,000.00"
terraced duplex,"₦25,000,000","Guzape District, Abuja",5,Duplex,"₦25,000,000.00",Guzape,"25,000,000.00"
semi-detached duplex,"₦29,000,000","Guzape District, Abuja",5,Duplex,"₦29,000,000.00",Guzape,"29,000,000.00"
terraced duplex,"₦15,000,000","Jahi, Abuja",4,Duplex,"₦15,000,000.00",Jahi,"15,000,000.00"
terraced duplex,"₦15,000,000","Guzape District, Abuja",4,Duplex,"₦15,000,000.00",Guzape,"15,000,000.00"
semi-detached duplex,"₦7,500,000","Apo, Abuja",4,Duplex,"₦7,500,000.00",Apo,"7,500,000.00"
terraced duplex,"₦18,000,000","Guzape District, Abuja",4,Duplex,"₦18,000,000.00",Guzape,"18,000,000.00"
flat / apartment,"₦6,000,000","Ministers Hill, Maitama District, Abuja",1,Apartment,"₦6,000,000.00",Maitama,"6,000,000.00"
detached duplex,"₦60,000,000","Danjuma Drive, Asokoro District, Abuja",6,Duplex,"₦60,000,000.00",Asokoro,"60,000,000.00"
mini flat (room and parlour),"₦1,500,000","Sahara Homes Behind Gwagwa Secondary School, Tasha1- 10mins From Idu, Tasha, Abuja",1,Apartment,"₦1,500,000.00",Idu,"1,500,000.00"
flat / apartment,"₦15,000,000","Maitama District, Abuja",1,Apartment,"₦15,000,000.00",Maitama,"15,000,000.00"
flat / apartment,"₦8,500,000","Jahi, Abuja",3,Apartment,"₦8,500,000.00",Jahi,"8,500,000.00"
flat / apartment,"₦25,000,000","Maitama District, Abuja",2,Apartment,"₦25,000,000.00",Maitama,"25,000,000.00"
semi-detached duplex,"₦32,000,000","Olu Awotesu Street, Jabi, Abuja",3,Duplex,"₦32,000,000.00",Jabi,"32,000,000.00"
terraced duplex,"₦18,000,000","Katampe Extension, Katampe, Abuja",4,Duplex,"₦18,000,000.00",Katampe,"18,000,000.00"
terraced duplex,"₦20,000,000","Dawaki, Gwarinpa, Abuja",5,Duplex,"₦20,000,000.00",Gwarinpa,"20,000,000.00"
semi-detached duplex,"₦8,000,000","Apo Resettlement, Apo, Abuja",4,Duplex,"₦8,000,000.00",Apo,"8,000,000.00"
terraced duplex,"₦15,000,000","Jahi, Abuja",3,Duplex,"₦15,000,000.00",Jahi,"15,000,000.00"
flat / apartment,"₦7,000,000","Garki, Abuja",4,Apartment,"₦7,000,000.00",Garki,"7,000,000.00"
terraced duplex,"₦50,000,000","Maitama District, Abuja",4,Duplex,"₦50,000,000.00",Maitama,"50,000,000.00"
mini flat (room and parlour),"₦2,000,000","Jabi, Abuja",1,Apartment,"₦2,000,000.00",Jabi,"2,000,000.00"
terraced duplex,"₦13,000,000","By Magistrate Court, Life Camp, Abuja",5,Duplex,"₦13,000,000.00",Life Camp,"13,000,000.00"
flat / apartment,"₦8,000,000","Gilmor, Jahi, Abuja",3,Apartment,"₦8,000,000.00",Jahi,"8,000,000.00"
flat / apartment,"₦8,000,000","Jahi, Abuja",3,Apartment,"₦8,000,000.00",Jahi,"8,000,000.00"
terraced duplex,"₦18,000,000","Guzape District, Abuja",4,Duplex,"₦18,000,000.00",Guzape,"18,000,000.00"
mini flat (room and parlour),"₦3,000,000","Gwarimpa Extension, Efab Queens, Gwarinpa, Abuja",1,Apartment,"₦3,000,000.00",Gwarinpa,"3,000,000.00"
detached duplex,"₦5,500,000","Nut Axis, Opposite River Park, Lugbe District, Abuja",4,Duplex,"₦5,500,000.00",Lugbe,"5,500,000.00"
flat / apartment,"₦8,000,000","By Zartech, Wuye, Abuja",34,Apartment,"₦8,000,000.00",Wuye,"8,000,000.00"
