Property Type,Price (Per Annum),Location,Bedrooms,Property Category,Price (Converted to Naira),Price(Float),District
flat / apartment,"₦13,500,000","Jahi, Abuja",4,Apartment,"₦13,500,000.00","13,500,000.00",Jahi
flat / apartment,"₦10,000,000","Wuse 2, Abuja",3,Apartment,"₦10,000,000.00","10,000,000.00",Wuse
terraced duplex,"₦30,000,000","Maitama District, Abuja",4,Duplex,"₦30,000,000.00","30,000,000.00",Maitama
detached duplex,"₦6,000,000","Aco, Lugbe District, Abuja",5,Duplex,"₦6,000,000.00","6,000,000.00",Lugbe
flat / apartment,"₦4,500,000","Aci, Lugbe District, Abuja",3,Apartment,"₦4,500,000.00","4,500,000.00",Lugbe
terraced duplex,"₦25,000,000","Jabi, Abuja",4,Duplex,"₦25,000,000.00","25,000,000.00",Jabi
terraced duplex,"₦15,000,000","Jahi, Abuja",4,Duplex,"₦15,000,000.00","15,000,000.00",Jahi
terraced duplex,"₦20,000,000","Mabushi, Abuja",4,Duplex,"₦20,000,000.00","20,000,000.00",Mabushi
flat / apartment,"₦6,500,000","Utako, Abuja",3,Apartment,"₦6,500,000.00","6,500,000.00",Utako
flat / apartment,"$55,000","Wuse 2, Abuja",3,Apartment,"₦74,523,350.00","74,523,350.00",Wuse
semi-detached duplex,"₦32,000,000","Olu Awotesu Street, Jabi, Abuja",3,Duplex,"₦32,000,000.00","32,000,000.00",Jabi
mini flat (room and parlour),"₦5,500,000","Area 1, Garki, Abuja",1,Apartment,"₦5,500,000.00","5,500,000.00",Garki
semi-detached duplex,"₦35,000,000","Katampe Extension, Katampe, Abuja",6,Duplex,"₦35,000,000.00","35,000,000.00",Katampe
semi-detached duplex,"₦30,000,000","Katampe Extension, Katampe, Abuja",4,Duplex,"₦30,000,000.00","30,000,000.00",Katampe
flat / apartment,"₦8,000,000","Jahi, Abuja",3,Apartment,"₦8,000,000.00","8,000,000.00",Jahi
flat / apartment,"₦7,500,000","By Mobil, Mabushi, Abuja",3,Apartment,"₦7,500,000.00","7,500,000.00",Mabushi
terraced duplex,"₦18,000,000","Utako, Abuja",4,Duplex,"₦18,000,000.00","18,000,000.00",Utako
detached duplex,"₦20,000,000","H-medix, Guzape District, Abuja",4,Duplex,"₦20,000,000.00","20,000,000.00",Guzape
flat / apartment,"₦3,000,000","Jabi, Jabi, Abuja",2,Apartment,"₦3,000,000.00","3,000,000.00",Jabi
flat / apartment,"₦7,500,000","Mabushi, Abuja",3,Apartment,"₦7,500,000.00","7,500,000.00",Mabushi
terraced duplex,"₦12,000,000","By Shafa Filing Station, Mabushi, Abuja",4,Duplex,"₦12,000,000.00","12,000,000.00",Mabushi
terraced duplex,"₦30,000,000","Maitama District, Abuja",4,Duplex,"₦30,000,000.00","30,000,000.00",Maitama
terraced duplex,"₦15,000,000","By Shafa Filing Station, Mabushi, Abuja",4,Duplex,"₦15,000,000.00","15,000,000.00",Mabushi
flat / apartment,"₦4,000,000","Gordon Ramsay Street, Katampe, Abuja",2,Apartment,"₦4,000,000.00","4,000,000.00",Katampe
flat / apartment,"₦6,000,000","Gilmore, Jahi, Abuja",2,Apartment,"₦6,000,000.00","6,000,000.00",Jahi
detached bungalow,"₦5,800,000","Near Christ Embassy, Jabi, Abuja",3,Bungalow,"₦5,800,000.00","5,800,000.00",Jabi
semi-detached duplex,"₦20,000,000","Dakibiyu Airport Bypass, Jabi, Abuja",5,Duplex,"₦20,000,000.00","20,000,000.00",Jabi
flat / apartment,"₦6,000,000","Jabi, Abuja",2,Apartment,"₦6,000,000.00","6,000,000.00",Jabi
terraced duplex,"₦30,000,000","Maitama District, Abuja",4,Duplex,"₦30,000,000.00","30,000,000.00",Maitama
semi-detached duplex,"₦20,000,000","Jabi, Abuja",5,Duplex,"₦20,000,000.00","20,000,000.00",Jabi
semi-detached duplex,"₦32,000,000","Olu Awotesu Street, Jabi, Abuja",3,Duplex,"₦32,000,000.00","32,000,000.00",Jabi
semi-detached duplex,"₦30,000,000","Katampe Extension, Katampe, Abuja",6,Duplex,"₦30,000,000.00","30,000,000.00",Katampe
flat / apartment,"₦4,000,000","Apo Resettlement, Apo, Abuja",3,Apartment,"₦4,000,000.00","4,000,000.00",Apo
terraced duplex,"₦15,000,000","Tarred Road, Mabushi, Abuja",5,Duplex,"₦15,000,000.00","15,000,000.00",Mabushi
flat / apartment,"₦7,000,000","Life Camp, Abuja",2,Apartment,"₦7,000,000.00","7,000,000.00",Life Camp
detached duplex,"₦30,000,000","Guzape District, Abuja",6,Duplex,"₦30,000,000.00","30,000,000.00",Guzape
semi-detached duplex,"₦8,000,000","Cluster 1, River Park Estate Airport Road, Lugbe District, Abuja",3,Duplex,"₦8,000,000.00","8,000,000.00",Lugbe
terraced duplex,"₦25,000,000","Off Mississippi Street, Maitama District, Abuja",4,Duplex,"₦25,000,000.00","25,000,000.00",Maitama
terraced duplex,"₦15,000,000","Guzape District, Abuja",4,Duplex,"₦15,000,000.00","15,000,000.00",Guzape
terraced duplex,"₦80,000,000","Jahi, Abuja",1,Duplex,"₦80,000,000.00","80,000,000.00",Jahi
terraced duplex,"₦20,000,000","Wuse, Abuja",5,Duplex,"₦20,000,000.00","20,000,000.00",Wuse
mini flat (room and parlour),"₦6,000,000","Kado, Abuja",1,Apartment,"₦6,000,000.00","6,000,000.00",Kado
terraced duplex,"₦15,000,000","Wuye, Abuja",4,Duplex,"₦15,000,000.00","15,000,000.00",Wuye
mini flat (room and parlour),"₦2,500,000","Legislative Quarters, Apo, Abuja",1,Apartment,"₦2,500,000.00","2,500,000.00",Apo
flat / apartment,"₦10,000,000","Wuse 2, Abuja",3,Apartment,"₦10,000,000.00","10,000,000.00",Wuse
terraced duplex,"₦10,000,000","Life Camp, Abuja",3,Duplex,"₦10,000,000.00","10,000,000.00",Life Camp
block of flats,"₦75,000,000","Garki 2, Garki, Abuja",2,Apartment,"₦75,000,000.00","75,000,000.00",Garki
terraced duplex,"₦15,000,000","Jahi, Abuja",4,Duplex,"₦15,000,000.00","15,000,000.00",Jahi
semi-detached duplex,"₦32,000,000","Olu Awotesu Street, Jabi, Abuja",3,Duplex,"₦32,000,000.00","32,000,000.00",Jabi
semi-detached duplex,"₦20,000,000","Fejiro Godspeed Street, Area 1, Garki, Abuja",4,Duplex,"₦20,000,000.00","20,000,000.00",Garki
flat / apartment,"₦5,500,000","Area 1, Garki, Abuja",2,Apartment,"₦5,500,000.00","5,500,000.00",Garki
terraced duplex,"₦12,000,000","Area 1, Garki, Abuja",4,Duplex,"₦12,000,000.00","12,000,000.00",Garki
flat / apartment,"₦20,000,000","Diplomatic Zone, Katampe Extension, Katampe, Abuja",2,Apartment,"₦20,000,000.00","20,000,000.00",Katampe
terraced duplex,"₦30,000,000","Diplomatic Zone, Katampe Extension, Katampe, Abuja",4,Duplex,"₦30,000,000.00","30,000,000.00",Katampe
detached duplex,"₦35,000,000","Katampe Extension, Katampe, Abuja",6,Duplex,"₦35,000,000.00","35,000,000.00",Katampe
semi-detached duplex,"₦35,000,000","Katampe Extension, Katampe, Abuja",6,Duplex,"₦35,000,000.00","35,000,000.00",Katampe
detached duplex,"₦35,000,000","Katampe Extension, Katampe, Abuja",6,Duplex,"₦35,000,000.00","35,000,000.00",Katampe
flat / apartment,"₦4,000,000","By Emadeb Filling Station, Mabushi, Abuja",2,Apartment,"₦4,000,000.00","4,000,000.00",Mabushi
terraced duplex,"₦30,000,000","Mabushi, Abuja",5,Duplex,"₦30,000,000.00","30,000,000.00",Mabushi
mini flat (room and parlour),"₦8,000,000","Behind Godab Estate, Life Camp, Abuja",1,Apartment,"₦8,000,000.00","8,000,000.00",Life Camp
mini flat (room and parlour),"₦12,000,000","Behind Godab Estate, Life Camp, Abuja",1,Apartment,"₦12,000,000.00","12,000,000.00",Life Camp
terraced duplex,"₦20,000,000","Femi Gbajabiamila Street By Navy Quarters, Jahi, Abuja",2,Duplex,"₦20,000,000.00","20,000,000.00",Jabi
terraced duplex,"₦15,000,000","Wuye, Abuja",4,Duplex,"₦15,000,000.00","15,000,000.00",Wuye
mini flat (room and parlour),"₦2,500,000","Kaura, Abuja",1,Apartment,"₦2,500,000.00","2,500,000.00",Kaura
semi-detached duplex,"₦15,000,000","Wuye, Abuja",4,Duplex,"₦15,000,000.00","15,000,000.00",Wuye
detached duplex,"₦7,500,000","By Shafa Fueling Station, After Dunamis Church,  Airport Road, Lugbe District, Abuja",4,Duplex,"₦7,500,000.00","7,500,000.00",Lugbe
semi-detached duplex,"₦300,000,000","Nasarawa Street, War College Quarters, Gwarinpa, Abuja",4,Duplex,"₦300,000,000.00","300,000,000.00",Gwarinpa
semi-detached duplex,"₦32,000,000","Olu Awotesu Street, Jabi, Abuja",3,Duplex,"₦32,000,000.00","32,000,000.00",Jabi
flat / apartment,"₦20,000,000","Katampe Extension, Katampe, Abuja",2,Apartment,"₦20,000,000.00","20,000,000.00",Katampe
detached duplex,"₦40,000,000","Utako, Abuja",5,Duplex,"₦40,000,000.00","40,000,000.00",Utako
terraced duplex,"₦18,000,000","Jabi, Abuja",4,Duplex,"₦18,000,000.00","18,000,000.00",Jabi
mini flat (room and parlour),"₦3,500,000","6th Avenue, Gwarinpa, Abuja",1,Apartment,"₦3,500,000.00","3,500,000.00",Gwarinpa
flat / apartment,"₦10,000,000","Kado, Abuja",3,Apartment,"₦10,000,000.00","10,000,000.00",Kado
flat / apartment,"₦13,000,000","Main Maitama, Maitama District, Abuja",2,Apartment,"₦13,000,000.00","13,000,000.00",Maitama
flat / apartment,"₦5,000,000","By Berger Clinic, Life Camp, Abuja",2,Apartment,"₦5,000,000.00","5,000,000.00",Life Camp
detached duplex,"₦65,000,000","Anthony Enahoro Way, Jabi, Abuja",6,Duplex,"₦65,000,000.00","65,000,000.00",Jabi
mini flat (room and parlour),"₦5,500,000","5, Chris Oyahkhilome Crescent, Durumi, Abuja",1,Apartment,"₦5,500,000.00","5,500,000.00",Durumi
flat / apartment,"₦8,000,000","Wuye Main, Wuye, Abuja",3,Apartment,"₦8,000,000.00","8,000,000.00",Wuye
flat / apartment,"₦7,000,000","Apo-dutse Off Oladipo Diya Before Cedacrest Hospital, Apo, Abuja",3,Apartment,"₦7,000,000.00","7,000,000.00",Apo
flat / apartment,"₦6,000,000","Legislative Quarters Nass, Apo, Abuja",2,Apartment,"₦6,000,000.00","6,000,000.00",Apo
flat / apartment,"₦5,500,000","Legislative Quarters Zone E, Apo, Abuja",2,Apartment,"₦5,500,000.00","5,500,000.00",Apo
mini flat (room and parlour),"₦8,000,000","Guzape, Guzape District, Abuja",1,Apartment,"₦8,000,000.00","8,000,000.00",Guzape
flat / apartment,"₦6,000,000","By Nizamiye Hospital, Idu Industrial, Abuja",3,Apartment,"₦6,000,000.00","6,000,000.00",Idu
flat / apartment,"₦6,000,000","Katampe, Abuja",2,Apartment,"₦6,000,000.00","6,000,000.00",Katampe
semi-detached duplex,"₦32,000,000","Olu Awotesu Street, Jabi, Abuja",3,Duplex,"₦32,000,000.00","32,000,000.00",Jabi
flat / apartment,"₦30,000,000","Area 2, Garki, Abuja",2,Apartment,"₦30,000,000.00","30,000,000.00",Garki
flat / apartment,"₦4,000,000","Games Village, Kaura, Abuja",2,Apartment,"₦4,000,000.00","4,000,000.00",Kaura
flat / apartment,"₦20,000,000","Katampe Extension, Katampe, Abuja",2,Apartment,"₦20,000,000.00","20,000,000.00",Katampe
flat / apartment,"₦20,000,000","Katampe Extension, Katampe, Abuja",2,Apartment,"₦20,000,000.00","20,000,000.00",Katampe
terraced duplex,"₦15,000,000","Katampe (Main), Katampe, Abuja",4,Duplex,"₦15,000,000.00","15,000,000.00",Katampe
detached duplex,"₦33,000,000","Asokoro District, Abuja",4,Duplex,"₦33,000,000.00","33,000,000.00",Asokoro
terraced duplex,"₦6,500,000","Lokogoma District, Abuja",3,Duplex,"₦6,500,000.00","6,500,000.00",Lokogoma
mini flat (room and parlour),"₦5,500,000","Asokoro District, Abuja",1,Apartment,"₦5,500,000.00","5,500,000.00",Asokoro
block of flats,"₦7,000,000","Wuye, Abuja",3,Apartment,"₦7,000,000.00","7,000,000.00",Wuye
semi-detached duplex,"₦10,000,000","Lokogoma District, Abuja",4,Duplex,"₦10,000,000.00","10,000,000.00",Lokogoma
terraced duplex,"₦5,500,000","By Paradise Estate, Life Camp, Abuja",3,Duplex,"₦5,500,000.00","5,500,000.00",Life Camp
flat / apartment,"₦60,000,000","Jahi, Abuja",3,Apartment,"₦60,000,000.00","60,000,000.00",Jahi
flat / apartment,"₦18,000,000","Garki, Abuja",3,Apartment,"₦18,000,000.00","18,000,000.00",Garki
detached duplex,"₦100,000,000","Maitama District, Abuja",4,Duplex,"₦100,000,000.00","100,000,000.00",Maitama
terraced duplex,"₦10,000,000","Asokoro District, Abuja",4,Duplex,"₦10,000,000.00","10,000,000.00",Asokoro
flat / apartment,"₦3,500,000","Life Camp, Abuja",2,Apartment,"₦3,500,000.00","3,500,000.00",Life Camp
terraced duplex,"₦40,000,000","Guzape District, Abuja",6,Duplex,"₦40,000,000.00","40,000,000.00",Guzape
detached bungalow,"₦3,000,000","Apo, Abuja",2,Bungalow,"₦3,000,000.00","3,000,000.00",Apo
flat / apartment,"₦4,500,000","Lugbe District, Abuja",2,Apartment,"₦4,500,000.00","4,500,000.00",Lugbe
semi-detached duplex,"₦32,000,000","Olu Awotesu Street, Jabi, Abuja",3,Duplex,"₦32,000,000.00","32,000,000.00",Jabi
flat / apartment,"₦8,000,000","Wuye, Abuja",3,Apartment,"₦8,000,000.00","8,000,000.00",Wuye
detached duplex,"₦80,000,000","Wuse 2, Abuja",5,Duplex,"₦80,000,000.00","80,000,000.00",Wuse
flat / apartment,"₦5,000,000","Ochacho, Life Camp, Abuja",2,Apartment,"₦5,000,000.00","5,000,000.00",Life Camp
flat / apartment,"$35,000","Maitama District, Abuja",3,Apartment,"₦47,423,950.00","47,423,950.00",Maitama
flat / apartment,"₦6,000,000","Wuse 2, Abuja",1,Apartment,"₦6,000,000.00","6,000,000.00",Wuse
flat / apartment,"₦5,000,000","Mabushi, Abuja",2,Apartment,"₦5,000,000.00","5,000,000.00",Mabushi
terraced duplex,"₦10,000,000","Kado, Abuja",3,Duplex,"₦10,000,000.00","10,000,000.00",Kado
detached duplex,"₦30,000,000","Apo, Abuja",5,Duplex,"₦30,000,000.00","30,000,000.00",Apo
flat / apartment,"₦3,500,000","Paradise 1 Axis, Life Camp, Abuja",2,Apartment,"₦3,500,000.00","3,500,000.00",Life Camp
flat / apartment,"₦18,000,000","Garki, Abuja",3,Apartment,"₦18,000,000.00","18,000,000.00",Garki
flat / apartment,"₦14,000,000","Cash & Carry, Kado, Abuja",4,Apartment,"₦14,000,000.00","14,000,000.00",Kado
terraced duplex,"₦16,000,000","Guzape, Guzape District, Abuja",5,Duplex,"₦16,000,000.00","16,000,000.00",Guzape
terraced duplex,"₦15,000,000","Jahi, Abuja",4,Duplex,"₦15,000,000.00","15,000,000.00",Jahi
flat / apartment,"₦6,500,000","Efabs, Life Camp, Abuja",3,Apartment,"₦6,500,000.00","6,500,000.00",Life Camp
flat / apartment,"₦8,500,000","By Arab, Utako, Abuja",3,Apartment,"₦8,500,000.00","8,500,000.00",Utako
flat / apartment,"₦6,000,000","Games Village, Kaura, Abuja",3,Apartment,"₦6,000,000.00","6,000,000.00",Kaura
semi-detached duplex,"₦32,000,000","Olu Awotesu Street, Jabi, Abuja",3,Duplex,"₦32,000,000.00","32,000,000.00",Jabi
detached duplex,"₦35,000,000","Zone 2, Wuse, Abuja",6,Duplex,"₦35,000,000.00","35,000,000.00",Wuse
flat / apartment,"₦6,000,000","Games Village, Kaura, Abuja",3,Apartment,"₦6,000,000.00","6,000,000.00",Kaura
flat / apartment,"₦26,000,000","Maitama District, Abuja",2,Apartment,"₦26,000,000.00","26,000,000.00",Maitama
flat / apartment,"₦120,000,000","Asokoro District, Abuja",3,Apartment,"₦120,000,000.00","120,000,000.00",Asokoro
flat / apartment,"₦5,000,000","Aso Radio Katampe, Katampe, Abuja",3,Apartment,"₦5,000,000.00","5,000,000.00",Katampe
terraced duplex,"₦15,000,000","Wuye, Abuja",4,Duplex,"₦15,000,000.00","15,000,000.00",Wuye
flat / apartment,"₦13,000,000","Jahi, Abuja",3,Apartment,"₦13,000,000.00","13,000,000.00",Jahi
semi-detached duplex,"₦15,000,000","Wuye, Abuja",4,Duplex,"₦15,000,000.00","15,000,000.00",Wuye
mini flat (room and parlour),"₦2,000,000","Idu, Idu Industrial, Abuja",1,Apartment,"₦2,000,000.00","2,000,000.00",Idu
flat / apartment,"₦40,000,000","Wuse 2, Abuja",3,Apartment,"₦40,000,000.00","40,000,000.00",Wuse
terraced duplex,"₦20,000,000","Wuye, Abuja",4,Duplex,"₦20,000,000.00","20,000,000.00",Wuye
detached duplex,"₦8,000,000","Lugbe District, Abuja",4,Duplex,"₦8,000,000.00","8,000,000.00",Lugbe
terraced duplex,"₦6,500,000","Life Camp, Abuja",4,Duplex,"₦6,500,000.00","6,500,000.00",Life Camp
flat / apartment,"₦40,000,000","Wuse 2, Abuja",3,Apartment,"₦40,000,000.00","40,000,000.00",Wuse
semi-detached duplex,"₦25,000,000","Legislative Quarters, Apo, Abuja",5,Duplex,"₦25,000,000.00","25,000,000.00",Apo
semi-detached duplex,"₦20,000,000","Wuye Main, Wuye, Abuja",5,Duplex,"₦20,000,000.00","20,000,000.00",Wuye
terraced duplex,"₦9,000,000","Nizamiye Hospital, Idu Industrial, Abuja",4,Duplex,"₦9,000,000.00","9,000,000.00",Idu
terraced duplex,"₦13,000,000","By Gilmor, Jahi, Abuja",3,Duplex,"₦13,000,000.00","13,000,000.00",Jahi
semi-detached duplex,"₦32,000,000","Olu Awotesu Street, Jabi, Abuja",3,Duplex,"₦32,000,000.00","32,000,000.00",Jabi
flat / apartment,"₦6,000,000","Games Village, Kaura, Abuja",3,Apartment,"₦6,000,000.00","6,000,000.00",Kaura
flat / apartment,"₦6,000,000","Katampe Extension, Katampe, Abuja",2,Apartment,"₦6,000,000.00","6,000,000.00",Katampe
terraced duplex,"₦25,000,000","Katampe (Main), Katampe, Abuja",4,Duplex,"₦25,000,000.00","25,000,000.00",Katampe
flat / apartment,"₦6,000,000","Katampe (Main), Katampe, Abuja",2,Apartment,"₦6,000,000.00","6,000,000.00",Katampe
mini flat (room and parlour),"₦3,000,000","Dawaki, Gwarinpa, Abuja",1,Apartment,"₦3,000,000.00","3,000,000.00",Gwarinpa
flat / apartment,"₦6,000,000","Just Off Emadeb Filling Station Banex Ahmadu Bello Way Axis), Katampe, Abuja",2,Apartment,"₦6,000,000.00","6,000,000.00",Katampe
terraced duplex,"₦20,000,000","Wuye, Abuja",4,Duplex,"₦20,000,000.00","20,000,000.00",Wuye
terraced duplex,"₦25,000,000","Main, Guzape District, Abuja",4,Duplex,"₦25,000,000.00","25,000,000.00",Guzape
terraced duplex,"₦20,000,000","Wuye, Abuja",4,Duplex,"₦20,000,000.00","20,000,000.00",Wuye
terraced duplex,"₦20,000,000","Wuye, Abuja",4,Duplex,"₦20,000,000.00","20,000,000.00",Wuye
semi-detached bungalow,"₦15,000,000","Lokogoma District, Abuja",5,Bungalow,"₦15,000,000.00","15,000,000.00",Lokogoma
flat / apartment,"₦25,000,000","Maitama District, Abuja",3,Apartment,"₦25,000,000.00","25,000,000.00",Maitama
flat / apartment,"₦10,000,000","Jahi, Abuja",3,Apartment,"₦10,000,000.00","10,000,000.00",Jahi
terraced duplex,"₦15,000,000","Jahi, Abuja",4,Duplex,"₦15,000,000.00","15,000,000.00",Jahi
semi-detached duplex,"₦35,000,000","Wuse 2, Abuja",5,Duplex,"₦35,000,000.00","35,000,000.00",Wuse
terraced duplex,"$60,000","Maitama District, Abuja",5,Duplex,"₦81,298,200.00","81,298,200.00",Maitama
terraced duplex,"₦15,000,000","Mabushi, Abuja",4,Duplex,"₦15,000,000.00","15,000,000.00",Mabushi
flat / apartment,"₦4,500,000","Kaura, Abuja",2,Apartment,"₦4,500,000.00","4,500,000.00",Kaura
semi-detached duplex,"₦32,000,000","Olu Awotesu Street, Jabi, Abuja",3,Duplex,"₦32,000,000.00","32,000,000.00",Jabi
flat / apartment,"₦6,000,000","Jabi, Abuja",2,Apartment,"₦6,000,000.00","6,000,000.00",Jabi
terraced duplex,"₦7,000,000","Lokogoma District, Abuja",3,Duplex,"₦7,000,000.00","7,000,000.00",Lokogoma
detached duplex,"₦50,000,000","Maitama District, Abuja",6,Duplex,"₦50,000,000.00","50,000,000.00",Maitama
flat / apartment,"₦6,000,000","Kaura, Abuja",3,Apartment,"₦6,000,000.00","6,000,000.00",Kaura
detached duplex,"₦45,000,000","Gwarinpa, Abuja",6,Duplex,"₦45,000,000.00","45,000,000.00",Gwarinpa
flat / apartment,"₦3,500,000","Idu Industrial, Abuja",2,Apartment,"₦3,500,000.00","3,500,000.00",Idu
terraced duplex,"₦30,000,000","Off Idris Gidado Way, Wuye, Abuja",5,Duplex,"₦30,000,000.00","30,000,000.00",Wuye
flat / apartment,"₦5,000,000","Idu Industrial, Abuja",3,Apartment,"₦5,000,000.00","5,000,000.00",Idu
flat / apartment,"₦6,000,000","Kaura District, Kaura, Abuja",3,Apartment,"₦6,000,000.00","6,000,000.00",Kaura
flat / apartment,"₦20,000,000","Volta Street, Maitama District, Abuja",2,Apartment,"₦20,000,000.00","20,000,000.00",Maitama
terraced duplex,"₦15,000,000","Mabushi, Abuja",4,Duplex,"₦15,000,000.00","15,000,000.00",Mabushi
flat / apartment,"₦6,500,000","After Zartech, Wuye, Abuja",2,Apartment,"₦6,500,000.00","6,500,000.00",Wuye
flat / apartment,"₦40,000,000","Wuse 2, Abuja",3,Apartment,"₦40,000,000.00","40,000,000.00",Wuse
flat / apartment,"₦6,000,000","By Games Village Estate, Kaura, Abuja",3,Apartment,"₦6,000,000.00","6,000,000.00",Kaura
terraced duplex,"₦8,000,000","Jahi, Abuja",4,Duplex,"₦8,000,000.00","8,000,000.00",Jahi
terraced duplex,"₦8,000,000","Jahi, Abuja",4,Duplex,"₦8,000,000.00","8,000,000.00",Jahi
semi-detached duplex,"₦32,000,000","Olu Awotesu Street, Jabi, Abuja",3,Duplex,"₦32,000,000.00","32,000,000.00",Jabi
semi-detached duplex,"₦20,000,000","Katampe (Main), Katampe, Abuja",5,Duplex,"₦20,000,000.00","20,000,000.00",Katampe
semi-detached duplex,"₦15,000,000","Katampe (Main), Katampe, Abuja",4,Duplex,"₦15,000,000.00","15,000,000.00",Katampe
semi-detached duplex,"₦30,000,000","Zone E, Apo Resettlement, Apo, Abuja",5,Duplex,"₦30,000,000.00","30,000,000.00",Apo
flat / apartment,"₦18,000,000","Wuse 2, Abuja",2,Apartment,"₦18,000,000.00","18,000,000.00",Wuse
detached duplex,"₦8,000,000","In An Estate By Pyakasa Road, Lugbe District, Abuja",4,Duplex,"₦8,000,000.00","8,000,000.00",Lugbe
flat / apartment,"₦12,000,000","Off 3rd Avenue, Gwarinpa, Abuja",3,Apartment,"₦12,000,000.00","12,000,000.00",Gwarinpa
semi-detached duplex,"₦50,000,000","Serene, Asokoro District, Abuja",5,Duplex,"₦50,000,000.00","50,000,000.00",Asokoro
flat / apartment,"₦5,000,000","Victor Emele Street, Jahi, Abuja",2,Apartment,"₦5,000,000.00","5,000,000.00",Jahi
flat / apartment,"₦13,000,000","Katampe, Abuja",2,Apartment,"₦13,000,000.00","13,000,000.00",Katampe
terraced duplex,"₦5,000,000","Apo Primary, Apo, Abuja",3,Duplex,"₦5,000,000.00","5,000,000.00",Apo
terraced duplex,"₦11,000,000","Mabushi, Abuja",5,Duplex,"₦11,000,000.00","11,000,000.00",Mabushi
detached duplex,"₦20,000,000","Gwarimpa Estate By 6th Avenue, Gwarinpa, Abuja",6,Duplex,"₦20,000,000.00","20,000,000.00",Gwarinpa
flat / apartment,"₦5,000,000","Aduvie, Jahi, Abuja",2,Apartment,"₦5,000,000.00","5,000,000.00",Jahi
detached bungalow,"₦14,000,000","Maitama District, Abuja",3,Bungalow,"₦14,000,000.00","14,000,000.00",Maitama
detached duplex,"₦10,000,000","Life Camp, Abuja",5,Duplex,"₦10,000,000.00","10,000,000.00",Life Camp
terraced duplex,"₦8,000,000","Idu Industrial, Abuja",4,Duplex,"₦8,000,000.00","8,000,000.00",Idu
terraced duplex,"₦13,000,000","By Gilmore, Jahi, Abuja",4,Duplex,"₦13,000,000.00","13,000,000.00",Jahi
terraced duplex,"₦15,000,000","Mabushi, Abuja",4,Duplex,"₦15,000,000.00","15,000,000.00",Mabushi
semi-detached duplex,"₦32,000,000","Olu Awotesu Street, Jabi, Abuja",3,Duplex,"₦32,000,000.00","32,000,000.00",Jabi
flat / apartment,"₦6,000,000","Games Village, Kaura, Abuja",3,Apartment,"₦6,000,000.00","6,000,000.00",Kaura
semi-detached duplex,"₦6,000,000","FHA (F.H.A), Lugbe District, Abuja",2,Duplex,"₦6,000,000.00","6,000,000.00",Lugbe
flat / apartment,"₦13,500,000","Wuse 2, Abuja",2,Apartment,"₦13,500,000.00","13,500,000.00",Wuse
flat / apartment,"₦10,000,000","Jahi, Abuja",3,Apartment,"₦10,000,000.00","10,000,000.00",Jahi
flat / apartment,"₦10,000,000","Jabi, Abuja",3,Apartment,"₦10,000,000.00","10,000,000.00",Jabi
terraced duplex,"₦15,000,000","Jahi, Abuja",4,Duplex,"₦15,000,000.00","15,000,000.00",Jahi
flat / apartment,"₦3,500,000","Lokogoma District, Abuja",2,Apartment,"₦3,500,000.00","3,500,000.00",Lokogoma
flat / apartment,"₦2,500,000","Lokogoma District, Abuja",1,Apartment,"₦2,500,000.00","2,500,000.00",Lokogoma
detached duplex,"₦60,000,000","Jabi, Abuja",7,Duplex,"₦60,000,000.00","60,000,000.00",Jabi
flat / apartment,"₦3,200,000","Wuse, Abuja",1,Apartment,"₦3,200,000.00","3,200,000.00",Wuse
terraced duplex,"₦10,000,000","Kado, Abuja",3,Duplex,"₦10,000,000.00","10,000,000.00",Kado
terraced duplex,"₦25,000,000","Maitama District, Abuja",4,Duplex,"₦25,000,000.00","25,000,000.00",Maitama
terraced duplex,"₦8,000,000","Nizamiye Hospital, Idu Industrial, Abuja",5,Duplex,"₦8,000,000.00","8,000,000.00",Idu
flat / apartment,"₦6,000,000","Games Village Axis, Kaura, Abuja",3,Apartment,"₦6,000,000.00","6,000,000.00",Kaura
terraced duplex,"₦20,000,000","Wuye, Abuja",4,Duplex,"₦20,000,000.00","20,000,000.00",Wuye
detached duplex,"₦8,000,000","Emmanuel Mbaka Rd, Von Axis, Lugbe District, Abuja",4,Duplex,"₦8,000,000.00","8,000,000.00",Lugbe
flat / apartment,"₦15,000,000","Gilmore, Jahi, Abuja",2,Apartment,"₦15,000,000.00","15,000,000.00",Jahi
semi-detached duplex,"₦32,000,000","Olu Awotesu Street, Jabi, Abuja",3,Duplex,"₦32,000,000.00","32,000,000.00",Jabi
flat / apartment,"₦4,500,000","Zone 5, Wuse, Abuja",1,Apartment,"₦4,500,000.00","4,500,000.00",Wuse
terraced duplex,"₦25,000,000","Katampe (Main), Katampe, Abuja",4,Duplex,"₦25,000,000.00","25,000,000.00",Katampe
terraced duplex,"₦6,500,000","Dawaki, Gwarinpa, Abuja",3,Duplex,"₦6,500,000.00","6,500,000.00",Gwarinpa
flat / apartment,"₦4,000,000","Dawaki, Gwarinpa, Abuja",2,Apartment,"₦4,000,000.00","4,000,000.00",Gwarinpa
flat / apartment,"₦3,000,000","Dawaki, Gwarinpa, Abuja",2,Apartment,"₦3,000,000.00","3,000,000.00",Gwarinpa
flat / apartment,"₦2,800,000","Dawaki, Gwarinpa, Abuja",2,Apartment,"₦2,800,000.00","2,800,000.00",Gwarinpa
