,Price,Location,Bedrooms(s),Property Type,Property Category,District,Price_Cleaned,Price(Converted_to_naira),Price(Float)
1107,"₦ 130,000,000/year",Zone 1 Wuse 1 Abuja,,Strategically Located Office Complex,,Wuse,"₦ 130,000,000","₦130,000,000.00",130000000.0
1108,"₦ 1,500,000/year",Gwarinpa Abuja,,Standard Room Self Contained,Apartment,Gwarinpa,"₦ 1,500,000","₦1,500,000.00",1500000.0
1109,"₦ 13,000,000/year",Guzape Abuja,4,Terrace Duplex With Bq,Duplex,Guzape,"₦ 13,000,000","₦13,000,000.00",13000000.0
1110,"₦ 1,000,000/year",Gwarinpa Abuja,,Room Self Contained,Apartment,Gwarinpa,"₦ 1,000,000","₦1,000,000.00",1000000.0
1111,"₦ 11,000,000/year",Gwarinpa Gwarinpa Abuja,4,Newly Built Terrace Duplex With A Bq,Duplex,Gwarinpa,"₦ 11,000,000","₦11,000,000.00",11000000.0
1112,"₦ 5,500,000/year",Brains And Hammers Life Camp Abuja,4,Terrace Duplex,Duplex,Life Camp,"₦ 5,500,000","₦5,500,000.00",5500000.0
1113,"₦ 1,000,000/year",Gwarinpa Abuja,1,Flat,Apartment,Gwarinpa,"₦ 1,000,000","₦1,000,000.00",1000000.0
1114,"₦ 300,000,000/year",Utako Abuja,,Office Complex,,Utako,"₦ 300,000,000","₦300,000,000.00",300000000.0
1115,"₦ 3,000,000/year",Gwarinpa Gwarinpa Abuja,1,Flat,Apartment,Gwarinpa,"₦ 3,000,000","₦3,000,000.00",3000000.0
1116,"₦ 1,000,000/year",Gwarinpa Abuja,,A Room Self Contained,Apartment,Gwarinpa,"₦ 1,000,000","₦1,000,000.00",1000000.0
1117,"₦ 20,000,000/year",Guzape Abuja,4,Terraced Duplex With A Bq,Duplex,Guzape,"₦ 20,000,000","₦20,000,000.00",20000000.0
1118,"₦ 12,000,000/year",Gwarinpa Gwarinpa Abuja,,Shop/office,,Gwarinpa,"₦ 12,000,000","₦12,000,000.00",12000000.0
1120,"₦ 15,000,000/year",Guzape Guzape Abuja,4,Terrace Duplex With A Bq,Duplex,Guzape,"₦ 15,000,000","₦15,000,000.00",15000000.0
1121,"₦ 1,300,000/year",Gwarinpa Abuja,,Room Self Contained,Apartment,Gwarinpa,"₦ 1,300,000","₦1,300,000.00",1300000.0
1123,"₦ 1,000,000/year",Gwarinpa Abuja,,Room Self Contained,Apartment,Gwarinpa,"₦ 1,000,000","₦1,000,000.00",1000000.0
1124,"₦ 1,400,000/year",Gwarinpa Abuja,,Room Self Contained,Apartment,Gwarinpa,"₦ 1,400,000","₦1,400,000.00",1400000.0
1126,"₦ 1,500,000/year",Lifecamp Life Camp Abuja,,Room Self Contain,Apartment,Life Camp,"₦ 1,500,000","₦1,500,000.00",1500000.0
1127,"₦ 1,500,000/year",Gwarinpa Abuja,,Room Self Contained,Apartment,Gwarinpa,"₦ 1,500,000","₦1,500,000.00",1500000.0
1128,"₦ 3,000,000/year",Gwarinpa Gwarinpa Abuja,,Shop,,Gwarinpa,"₦ 3,000,000","₦3,000,000.00",3000000.0
1129,"₦ 18,000,000/year",Fha Guzape Abuja,4,Terraced Duplex,Duplex,Guzape,"₦ 18,000,000","₦18,000,000.00",18000000.0
1130,"₦ 5,000,000/year",Area 1 By Old Secretariat Garki 1 Abuja,2,Spacious Flat,Apartment,Garki,"₦ 5,000,000","₦5,000,000.00",5000000.0
1131,"₦ 8,000,000/year",Brookshore Estate Gwarinpa Abuja,4,Flat,Apartment,Gwarinpa,"₦ 8,000,000","₦8,000,000.00",8000000.0
1132,"₦ 4,000,000/year",Jahi Jahi Abuja,1,Flat,Apartment,Jahi,"₦ 4,000,000","₦4,000,000.00",4000000.0
1133,"₦ 1,500,000/year",Life Camp Abuja,,Room Self Contained,Apartment,Life Camp,"₦ 1,500,000","₦1,500,000.00",1500000.0
1134,"₦ 2,600,000/year",Asokoro Abuja,,Standard Self Contained,,Asokoro,"₦ 2,600,000","₦2,600,000.00",2600000.0
1135,"₦ 1,000,000/year",Gwarinpa Abuja,,A Room Self Contained,Apartment,Gwarinpa,"₦ 1,000,000","₦1,000,000.00",1000000.0
1136,"₦ 25,000,000/year",Fha Guzape Guzape Abuja,5,Magnificent Semi Detached Duplex+bq,Duplex,Guzape,"₦ 25,000,000","₦25,000,000.00",25000000.0
1137,"₦ 6,500,000/year",Mabushi Mabushi Abuja,2,Flat,Apartment,Mabushi,"₦ 6,500,000","₦6,500,000.00",6500000.0
1138,"₦ 1,200,000/year",Gwarinpa Abuja,,Room Self Contained,Apartment,Gwarinpa,"₦ 1,200,000","₦1,200,000.00",1200000.0
1139,"₦ 1,300,000/year",Gwarinpa Abuja,,Room Self Contained,Apartment,Gwarinpa,"₦ 1,300,000","₦1,300,000.00",1300000.0
1140,"₦ 1,100,000/year",Gwarinpa Gwarinpa Abuja,,Self Contain,,Gwarinpa,"₦ 1,100,000","₦1,100,000.00",1100000.0
1141,"₦ 3,000,000/year",Asokoro Main Asokoro Abuja,,Room Self Contain,Apartment,Asokoro,"₦ 3,000,000","₦3,000,000.00",3000000.0
1142,"₦ 2,000,000/year",Gwarinpa Gwarinpa Abuja,,Room Self Contained,Apartment,Gwarinpa,"₦ 2,000,000","₦2,000,000.00",2000000.0
1144,"₦ 1,300,000/year",Gwarinpa Abuja,,Room Self Contained,Apartment,Gwarinpa,"₦ 1,300,000","₦1,300,000.00",1300000.0
1145,"₦ 1,800,000/year",Wuye Abuja,,Newly Built Room Self Contained,Apartment,Wuye,"₦ 1,800,000","₦1,800,000.00",1800000.0
1147,"₦ 2,000,000/year",Wuye Wuye Abuja,,Self Contain,,Wuye,"₦ 2,000,000","₦2,000,000.00",2000000.0
1148,"₦ 4,000,000/year",Gwarinpa Abuja,2,Flat,Apartment,Gwarinpa,"₦ 4,000,000","₦4,000,000.00",4000000.0
1149,"₦ 2,500,000/year",Zone 6 Wuse 1 Abuja,,Furnished Room Self Contained,Apartment,Wuse,"₦ 2,500,000","₦2,500,000.00",2500000.0
1150,"₦ 4,500,000/year",Brains And Hammers Life Camp Abuja,3,Flat,Apartment,Life Camp,"₦ 4,500,000","₦4,500,000.00",4500000.0
1151,"₦ 2,000,000/year",Wuse 2 Abuja,,Room Self Contained,Apartment,Wuse,"₦ 2,000,000","₦2,000,000.00",2000000.0
1152,"₦ 1,700,000/year",Wuye Abuja,,Room Self Contained,Apartment,Wuye,"₦ 1,700,000","₦1,700,000.00",1700000.0
1153,"₦ 1,800,000/year",Wuse Zone 3 Wuse 1 Abuja,,Shop/office Space,,Wuse,"₦ 1,800,000","₦1,800,000.00",1800000.0
1154,"₦ 4,000,000/year",Paradise Court Idu Abuja,2,Flat,Apartment,Idu,"₦ 4,000,000","₦4,000,000.00",4000000.0
1155,"₦ 2,000,000/year",Wuye Abuja,,Studio Self Contained,Apartment,Wuye,"₦ 2,000,000","₦2,000,000.00",2000000.0
1156,"₦ 3,500,000/year",Wuae Zone Wuse 1 Abuja,1,Flat,Apartment,Wuse,"₦ 3,500,000","₦3,500,000.00",3500000.0
1157,"₦ 3,000,000/year",Life Camp Abuja,1,Flat,Apartment,Life Camp,"₦ 3,000,000","₦3,000,000.00",3000000.0
1159,"₦ 15,000,000/year",Area 11 Garki 2 Abuja,,Office Space,,Garki,"₦ 15,000,000","₦15,000,000.00",15000000.0
1160,"₦ 1,500,000/year",Gwarinpa Abuja,,Room Self Contained,Apartment,Gwarinpa,"₦ 1,500,000","₦1,500,000.00",1500000.0
1161,"₦ 8,000,000/year",Wuye Wuye Abuja,3,Newly Built Flat+bq,Apartment,Wuye,"₦ 8,000,000","₦8,000,000.00",8000000.0
1162,"₦ 9,000,000/year",Idu Idu Abuja,4,Newly Built Semi Detached Duplex,Duplex,Idu,"₦ 9,000,000","₦9,000,000.00",9000000.0
1163,"₦ 1,500,000/year",Gwarinpa Abuja,,A Room Self Contained,Apartment,Gwarinpa,"₦ 1,500,000","₦1,500,000.00",1500000.0
1164,"₦ 700,000,009",Before H Medix Life Camp Abuja,6,Semi Finished Premium Detached Duplex,Duplex,Life Camp,"₦ 700,000,009","₦700,000,009.00",700000009.0
1165,"₦ 1,700,000/year",Gwarinpa Gwarinpa Abuja,,Room Self Contain,Apartment,Gwarinpa,"₦ 1,700,000","₦1,700,000.00",1700000.0
1166,"₦ 13,000,000/year",Guzape Guzape Abuja,4,Beautifully Finished Terrace Duplex + Bq,Duplex,Guzape,"₦ 13,000,000","₦13,000,000.00",13000000.0
1167,"₦ 1,600,000/year",Gwarinpa Gwarinpa Abuja,,Room Self Contain,Apartment,Gwarinpa,"₦ 1,600,000","₦1,600,000.00",1600000.0
1168,"₦ 15,000,000/year",Zone 3 Wuse 1 Abuja,4,Terrace Duplex,Duplex,Wuse,"₦ 15,000,000","₦15,000,000.00",15000000.0
1169,"₦ 10,000,000/year",Area 11 Garki 2 Abuja,3,Flat,Apartment,Garki,"₦ 10,000,000","₦10,000,000.00",10000000.0
1170,"₦ 1,600,000/year",Gwarinpa Abuja,,Room Self Contained,Apartment,Gwarinpa,"₦ 1,600,000","₦1,600,000.00",1600000.0
1171,"₦ 1,700,000/year",Gwarinpa Abuja,,Room Self Contained,Apartment,Gwarinpa,"₦ 1,700,000","₦1,700,000.00",1700000.0
1172,"₦ 20,000,000/year",Wuse Zone 4 Wuse 1 Abuja,4,Terrace Duplex,Duplex,Wuse,"₦ 20,000,000","₦20,000,000.00",20000000.0
1173,"₦ 20,000,000/year",Guzape Guzape Abuja,4,Terrace Duplex,Duplex,Guzape,"₦ 20,000,000","₦20,000,000.00",20000000.0
1174,"₦ 25,000,000/year",Asokoro Extension Asokoro Abuja,4,Detached Duplex With Bq,Duplex,Asokoro,"₦ 25,000,000","₦25,000,000.00",25000000.0
1175,"₦ 4,500,000/year",Brains And Hammers Life Camp Abuja,4,Newly Built Terrace Duplex,Duplex,Life Camp,"₦ 4,500,000","₦4,500,000.00",4500000.0
1176,"₦ 1,300,000/year",Gwarinpa Gwarinpa Abuja,,Self Contain,,Gwarinpa,"₦ 1,300,000","₦1,300,000.00",1300000.0
1177,"₦ 8,000,000/year",Area 1 Garki Garki 1 Abuja,4,Terrace Duplex,Duplex,Garki,"₦ 8,000,000","₦8,000,000.00",8000000.0
1178,"₦ 13,000,000/year",Asokoro Abuja,4,Newly Built Terrace Duplex With Bq,Duplex,Asokoro,"₦ 13,000,000","₦13,000,000.00",13000000.0
1179,"₦ 1,500,000/year",Gwarinpa Abuja,,Room Self Contained,Apartment,Gwarinpa,"₦ 1,500,000","₦1,500,000.00",1500000.0
1180,"₦ 50,000,000/year",Maitama Maitama Abuja,6,Detached Duplex,Duplex,Maitama,"₦ 50,000,000","₦50,000,000.00",50000000.0
1181,"₦ 10,000,000/year",Area 11 Garki 2 Abuja,4,Apartment,Apartment,Garki,"₦ 10,000,000","₦10,000,000.00",10000000.0
1182,"₦ 15,000,000/year",Asokoro Extension Asokoro Abuja,4,Terrace Duplex+bq,Duplex,Asokoro,"₦ 15,000,000","₦15,000,000.00",15000000.0
1183,"₦ 8,000,000/year",Presidential Villa Asokoro Abuja,1,Furnished Flat,Apartment,Asokoro,"₦ 8,000,000","₦8,000,000.00",8000000.0
1184,"₦ 6,000,000/year",Close To Games Village Kaura (games Village) Abuja,3,Flat,Apartment,Kaura,"₦ 6,000,000","₦6,000,000.00",6000000.0
1186,"₦ 1,300,000/year",Gwarinpa Abuja,,A Room Self Contained,Apartment,Gwarinpa,"₦ 1,300,000","₦1,300,000.00",1300000.0
1187,"₦ 5,000,000/year",Gwarinpa Gwarinpa Abuja,,Well Located Shop/office Space,,Gwarinpa,"₦ 5,000,000","₦5,000,000.00",5000000.0
1188,"₦ 10,000,000/year",Guzape Guzape Abuja,3,Newly Built Flat,Apartment,Guzape,"₦ 10,000,000","₦10,000,000.00",10000000.0
1189,"₦ 15,000,000/year",Wuse Wuse 1 Abuja,4,Beautiful Terrace Duplex+bq,Duplex,Wuse,"₦ 15,000,000","₦15,000,000.00",15000000.0
1190,"₦ 3,240,000/year",Jabi Abuja,,Shop/office Space,,Jabi,"₦ 3,240,000","₦3,240,000.00",3240000.0
1191,"₦ 300,000,000/year",Wuse2 Wuse 2 Abuja,,Strategically Located Office Complex,,Wuse,"₦ 300,000,000","₦300,000,000.00",300000000.0
1192,"₦ 35,000,000/year",Wuse 2 Abuja,4,Semi Detached Duplex With A Bq,Duplex,Wuse,"₦ 35,000,000","₦35,000,000.00",35000000.0
1193,"₦ 25,000,000/year",Asokoro Asokoro Abuja,4,Terrace Duplex,Duplex,Asokoro,"₦ 25,000,000","₦25,000,000.00",25000000.0
1194,"₦ 15,000,000/year",Asokoro Asokoro Abuja,4,Newly Built Terrace Duplex,Duplex,Asokoro,"₦ 15,000,000","₦15,000,000.00",15000000.0
1195,"₦ 1,200,000/year",Gwarinpa Abuja,,A Room Self Contained,Apartment,Gwarinpa,"₦ 1,200,000","₦1,200,000.00",1200000.0
1196,"₦ 1,400,000/year",Gwarinpa Abuja,,Room Self Contain,Apartment,Gwarinpa,"₦ 1,400,000","₦1,400,000.00",1400000.0
1197,"₦ 20,000,000/year",Wuse Zone 1 Wuse 1 Abuja,4,Terraced Duplex With A Bq,Duplex,Wuse,"₦ 20,000,000","₦20,000,000.00",20000000.0
1198,"₦ 1,250,000/year",Gwarinpa Gwarinpa Abuja,,Room Self Contain,Apartment,Gwarinpa,"₦ 1,250,000","₦1,250,000.00",1250000.0
1199,"₦ 1,300,000/year",Gwarinpa Gwarinpa Abuja,,Room Self Contain,Apartment,Gwarinpa,"₦ 1,300,000","₦1,300,000.00",1300000.0
1200,"₦ 1,300,000/year",Gwarinpa Abuja,,Room Self Contained,Apartment,Gwarinpa,"₦ 1,300,000","₦1,300,000.00",1300000.0
1201,"₦ 1,400,000/year",Gwarinpa Abuja,,Room Self Contained,Apartment,Gwarinpa,"₦ 1,400,000","₦1,400,000.00",1400000.0
1202,"₦ 6,500,000/year",Wuye Wuye Abuja,2,Flat,Apartment,Wuye,"₦ 6,500,000","₦6,500,000.00",6500000.0
1204,"₦ 3,500,000/year",Gwarinpa Gwarinpa Abuja,2,Bungalow,Bungalow,Gwarinpa,"₦ 3,500,000","₦3,500,000.00",3500000.0
1205,"₦ 8,000,000/year",Ministers Lifecamp Life Camp Abuja,3,Bungalow,Bungalow,Life Camp,"₦ 8,000,000","₦8,000,000.00",8000000.0
1207,"₦ 1,500,000/year",Gwarinpa Abuja,,Room Self Contained,Apartment,Gwarinpa,"₦ 1,500,000","₦1,500,000.00",1500000.0
1208,"₦ 1,200,000/year",Gwarinpa Abuja,,Room Self Contained,Apartment,Gwarinpa,"₦ 1,200,000","₦1,200,000.00",1200000.0
1209,"₦ 1,500,000/year",Gwarinpa Abuja,,Room Self Contained,Apartment,Gwarinpa,"₦ 1,500,000","₦1,500,000.00",1500000.0
1210,"₦ 25,000,000/year",Asokoro Abuja,4,Terrace Duplex,Duplex,Asokoro,"₦ 25,000,000","₦25,000,000.00",25000000.0
1211,"₦ 1,000,000/year",Efab Metropolis Gwarinpa Abuja,,Room Self Contained,Apartment,Gwarinpa,"₦ 1,000,000","₦1,000,000.00",1000000.0
1212,"₦ 5,000,000/year",Katampe Main Katampe Main Abuja,3,Flat,Apartment,Katampe,"₦ 5,000,000","₦5,000,000.00",5000000.0
1213,"₦ 130,000,000/year",Asokoro Abuja,7,Detached Duplex With Bq,Duplex,Asokoro,"₦ 130,000,000","₦130,000,000.00",130000000.0
1214,"₦ 12,000,000/year",Guzape Abuja,4,Terrace Duplex,Duplex,Guzape,"₦ 12,000,000","₦12,000,000.00",12000000.0
1215,"₦ 2,300,000/year",Asokoro Asokoro Abuja,,Self Contain,,Asokoro,"₦ 2,300,000","₦2,300,000.00",2300000.0
1216,"₦ 6,500,000/year","After Berger Clinic, Life Camp Abuja",2,Magnificently Furnished Flat,Apartment,Life Camp,"₦ 6,500,000","₦6,500,000.00",6500000.0
1217,"₦ 1,800,000/year",Gwarinpa Abuja,,Standard Room Self Contained,Apartment,Gwarinpa,"₦ 1,800,000","₦1,800,000.00",1800000.0
1218,"₦ 1,900,000/year",Mabushi Mabushi Abuja,,Spacioue Self Contain,,Mabushi,"₦ 1,900,000","₦1,900,000.00",1900000.0
1219,"₦ 3,500,000/year",Atea 11 Proximity To Police Hq Garki 2 Abuja,,Room Self Contained,Apartment,Garki,"₦ 3,500,000","₦3,500,000.00",3500000.0
1220,"₦ 3,500,000/year",Guzape Guzape Abuja,,Spacious Self Contain,,Guzape,"₦ 3,500,000","₦3,500,000.00",3500000.0
1221,"₦ 2,000,000/year",Wuye Abuja,,Room Self Contained,Apartment,Wuye,"₦ 2,000,000","₦2,000,000.00",2000000.0
1222,"₦ 2,900,000/year",Garki 2 Abuja,,A Room Self Contained,Apartment,Garki,"₦ 2,900,000","₦2,900,000.00",2900000.0
1223,"₦ 5,000,000/year",Asokoro Asokoro Abuja,,Room Self Contain,Apartment,Asokoro,"₦ 5,000,000","₦5,000,000.00",5000000.0
1224,"₦ 1,500,000/year","Wuse Zone 3, Wuse 1 Abuja",,A Room Self Contained,Apartment,Wuse,"₦ 1,500,000","₦1,500,000.00",1500000.0
1225,"₦ 2,000,000/year",Gwarinpa Gwarinpa Abuja,1,Flat,Apartment,Gwarinpa,"₦ 2,000,000","₦2,000,000.00",2000000.0
1226,"₦ 1,500,000/year",Wuye Abuja,,Room Self Contained,Apartment,Wuye,"₦ 1,500,000","₦1,500,000.00",1500000.0
1228,"₦ 2,500,000/year",Asokoro Asokoro Abuja,,Room Self Contain,Apartment,Asokoro,"₦ 2,500,000","₦2,500,000.00",2500000.0
1229,"₦ 12,000,000/year",Guzape Guzape Abuja,4,Terrace Duplex+ Bq,Duplex,Guzape,"₦ 12,000,000","₦12,000,000.00",12000000.0
1231,"₦ 1,000,000/year",Gwarinpa Abuja,,Room Self Contain,Apartment,Gwarinpa,"₦ 1,000,000","₦1,000,000.00",1000000.0
1232,"₦ 2,000,000/year",Naf Valley Estate Asokoro Abuja,,Self Contain,,Asokoro,"₦ 2,000,000","₦2,000,000.00",2000000.0
1233,"₦ 10,000,000/year",Asokoro Asokoro Abuja,2,Beautiful Bungalow,Bungalow,Asokoro,"₦ 10,000,000","₦10,000,000.00",10000000.0
1234,"₦ 25,000,000/year",Gwarinpa Gwarinpa Abuja,5,Semi Detached Duplex+bq,Duplex,Gwarinpa,"₦ 25,000,000","₦25,000,000.00",25000000.0
1235,"₦ 12,000,000/year",Guzape Guzape Abuja,4,Newly Built Terrace Duplex,Duplex,Guzape,"₦ 12,000,000","₦12,000,000.00",12000000.0
1236,"₦ 1,600,000/year",Gwarinpa Gwarinpa Abuja,,Room Self Con,Apartment,Gwarinpa,"₦ 1,600,000","₦1,600,000.00",1600000.0
1237,"₦ 15,000,000/year",Guzape Guzape Abuja,4,Newly Built Duplex,Duplex,Guzape,"₦ 15,000,000","₦15,000,000.00",15000000.0
1238,"₦ 1,300,000/year",Gwarinpa Abuja,,Room Self Contain,Apartment,Gwarinpa,"₦ 1,300,000","₦1,300,000.00",1300000.0
1239,"₦ 4,500,000/year",Brains And Hammers Life Camp Abuja,4,Terrace Duplex,Duplex,Life Camp,"₦ 4,500,000","₦4,500,000.00",4500000.0
1240,"₦ 1,300,000/year",Gwarinpa Gwarinpa Abuja,,Self Contain,,Gwarinpa,"₦ 1,300,000","₦1,300,000.00",1300000.0
1241,"₦ 15,000,000/year",Katampe Extension Katampe Abuja,4,Terrace Duplex,Duplex,Katampe,"₦ 15,000,000","₦15,000,000.00",15000000.0
1242,"₦ 4,500,000/year",Gwarinpa Abuja,,Shop/office Space,,Gwarinpa,"₦ 4,500,000","₦4,500,000.00",4500000.0
1243,"₦ 18,000,000/year",Wuse 2 Abuja,,Strategically Located Shop/office Space,,Wuse,"₦ 18,000,000","₦18,000,000.00",18000000.0
1244,"₦ 7,000,000/year",Wuse2 Wuse 2 Abuja,,Office Space,,Wuse,"₦ 7,000,000","₦7,000,000.00",7000000.0
1245,"₦ 18,000,000/year",Guzape Guzape Abuja,4,Newly Built Terrace Duplex +bq,Duplex,Guzape,"₦ 18,000,000","₦18,000,000.00",18000000.0
1246,"₦ 19,000,000/year",Utako Abuja,4,Terrace Duplex With Bq,Duplex,Utako,"₦ 19,000,000","₦19,000,000.00",19000000.0
1247,"₦ 1,800,000/year",Gwarinpa Abuja,,Room Self Contained,Apartment,Gwarinpa,"₦ 1,800,000","₦1,800,000.00",1800000.0
1249,"₦ 1,000,000/year",Gwarinpa Gwarinpa Abuja,,Room Self Contain,Apartment,Gwarinpa,"₦ 1,000,000","₦1,000,000.00",1000000.0
1250,"₦ 1,500,000/year",Gwarinpa Abuja,,A Room Self Contained,Apartment,Gwarinpa,"₦ 1,500,000","₦1,500,000.00",1500000.0
1251,"₦ 15,000,000/year",Asokoro Asokoro Abuja,4,Terrace Duplex,Duplex,Asokoro,"₦ 15,000,000","₦15,000,000.00",15000000.0
1252,"₦ 7,500,000/year","Brains And Hammers, Life Camp Abuja",4,Terraced Duplex,Duplex,Life Camp,"₦ 7,500,000","₦7,500,000.00",7500000.0
1253,"₦ 7,500,000/year",Area 11 Garki 2 Abuja,,Office Space,,Garki,"₦ 7,500,000","₦7,500,000.00",7500000.0
1254,"₦ 12,000,000/year",Area 11 Garki 2 Abuja,4,Terrace Duplex With A Bq,Duplex,Garki,"₦ 12,000,000","₦12,000,000.00",12000000.0
1255,"₦ 10,000,000/year",Jahi Jahi Abuja,3,Flat,Apartment,Jahi,"₦ 10,000,000","₦10,000,000.00",10000000.0
1256,"₦ 9,000,000/year",Asokoro Asokoro Abuja,3,Flat,Apartment,Asokoro,"₦ 9,000,000","₦9,000,000.00",9000000.0
1257,"₦ 7,000,000/year",Jahi Abuja,2,Newly Built Flat,Apartment,Jahi,"₦ 7,000,000","₦7,000,000.00",7000000.0
1258,"₦ 10,000,000/year",Wuye Wuye Abuja,3,Flat,Apartment,Wuye,"₦ 10,000,000","₦10,000,000.00",10000000.0
1259,"₦ 30,000,000/year",Maitama Maitama Abuja,5,Detached Duplex,Duplex,Maitama,"₦ 30,000,000","₦30,000,000.00",30000000.0
1260,"₦ 7,500,000/year",Wuse Zone 5 Wuse 1 Abuja,3,Bungalow,Bungalow,Wuse,"₦ 7,500,000","₦7,500,000.00",7500000.0
1261,"₦ 7,000,000/year",Area 11 Garki 2 Abuja,,Warehouse,,Garki,"₦ 7,000,000","₦7,000,000.00",7000000.0
1262,"₦ 30,000,000/year",Wuse 2 Abuja,,Shop/office Space,,Wuse,"₦ 30,000,000","₦30,000,000.00",30000000.0
1263,"₦ 12,000,000/year",Mabushi Abuja,4,Newly Built Penthouse,Duplex,Mabushi,"₦ 12,000,000","₦12,000,000.00",12000000.0
1264,"₦ 10,000,000/year",Wuse 2 Wuse 2 Abuja,,Shop /office Space,,Wuse,"₦ 10,000,000","₦10,000,000.00",10000000.0
1265,"₦ 8,000,000/year",Wuse 2 Wuse 2 Abuja,,Shop/office Space,,Wuse,"₦ 8,000,000","₦8,000,000.00",8000000.0
1266,"₦ 12,000,000/year",Gwarinpa Abuja,4,Newly Built Duplex,Duplex,Gwarinpa,"₦ 12,000,000","₦12,000,000.00",12000000.0
1267,"₦ 2,000,000/year",Gwarinpa Abuja,,Room Self Contained,Apartment,Gwarinpa,"₦ 2,000,000","₦2,000,000.00",2000000.0
1268,"₦ 10,000,000/year",Area 1 Garki 1 Abuja,4,Terrace Duplex,Duplex,Garki,"₦ 10,000,000","₦10,000,000.00",10000000.0
1270,"₦ 3,500,000/year",Utako Utako Abuja,1,Spacious Flat,Apartment,Utako,"₦ 3,500,000","₦3,500,000.00",3500000.0
1271,"₦ 1,000,000/year",Gwarinpa Gwarinpa Abuja,,Self Contain,,Gwarinpa,"₦ 1,000,000","₦1,000,000.00",1000000.0
1272,"₦ 4,500,000/year",Utako Utako Abuja,1,Flat,Apartment,Utako,"₦ 4,500,000","₦4,500,000.00",4500000.0
1273,"₦ 6,000,000/year",Maitama Maitama Abuja,1,Flat,Apartment,Maitama,"₦ 6,000,000","₦6,000,000.00",6000000.0
1274,"₦ 7,500,000/year",Naf Valley Estate Asokoro Asokoro Abuja,3,Flat,Apartment,Asokoro,"₦ 7,500,000","₦7,500,000.00",7500000.0
1275,"₦ 18,000,000/year",Guzape Guzape Abuja,4,Newly Built Terrace Duplex+bq,Duplex,Guzape,"₦ 18,000,000","₦18,000,000.00",18000000.0
1276,"₦ 7,000,000/year",Wuse Zone2 Wuse 1 Abuja,3,Flat,Apartment,Wuse,"₦ 7,000,000","₦7,000,000.00",7000000.0
1277,"₦ 15,000,000/year",Durumi Durumi Abuja,6,Newly Built Semi Detached Duplex+bq,Duplex,Durumi,"₦ 15,000,000","₦15,000,000.00",15000000.0
1278,"₦ 15,000,000/year",Maitama Maitama Abuja,3,Magnificent Flat,Apartment,Maitama,"₦ 15,000,000","₦15,000,000.00",15000000.0
1279,"₦ 5,000,000/year",Gwarinpa Gwarinpa Abuja,3,Spacious Flat,Apartment,Gwarinpa,"₦ 5,000,000","₦5,000,000.00",5000000.0
1280,"₦ 4,000,000/year",Gwarinpa Abuja,2,Flat,Apartment,Gwarinpa,"₦ 4,000,000","₦4,000,000.00",4000000.0
1282,"₦ 3,500,000/year",Asokoro Abuja,,Room Self Contained,Apartment,Asokoro,"₦ 3,500,000","₦3,500,000.00",3500000.0
1283,"₦ 6,000,000/year",Jahi Abuja,2,Flat,Apartment,Jahi,"₦ 6,000,000","₦6,000,000.00",6000000.0
1284,"₦ 3,000,000/year",Garki 2 Abuja,,Studio Apartment,Apartment,Garki,"₦ 3,000,000","₦3,000,000.00",3000000.0
1285,"₦ 1,700,000/year",Wuse Zone Wuse 1 Abuja,,Room Self Contain,Apartment,Wuse,"₦ 1,700,000","₦1,700,000.00",1700000.0
1286,"₦ 2,000,000/year",Wuse 2 Abuja,,Room Self Contained,Apartment,Wuse,"₦ 2,000,000","₦2,000,000.00",2000000.0
1287,"₦ 1,300,000/year",Gwarinpa Gwarinpa Abuja,,Room Self Contain,Apartment,Gwarinpa,"₦ 1,300,000","₦1,300,000.00",1300000.0
1288,"₦ 1,500,000/year",Kado Kado Abuja,,Room Self Contain,Apartment,Kado,"₦ 1,500,000","₦1,500,000.00",1500000.0
1289,"₦ 800,000/year",Gwarinpa Abuja,,Room Self Contained,Apartment,Gwarinpa,"₦ 800,000","₦800,000.00",800000.0
1291,"₦ 1,000,000/year",Gwarinpa Gwarinpa Abuja,,Room Self Contain,Apartment,Gwarinpa,"₦ 1,000,000","₦1,000,000.00",1000000.0
1292,"₦ 4,000,000/year",Brains And Hammers Life Camp Abuja,2,Flat,Apartment,Life Camp,"₦ 4,000,000","₦4,000,000.00",4000000.0
1293,"₦ 1,500,000/year",Zone 2 Wuse 1 Abuja,,Room Self Contained,Apartment,Wuse,"₦ 1,500,000","₦1,500,000.00",1500000.0
1294,"₦ 1,700,000/year",Wuse Zone Wuse 1 Abuja,,Self Contain,,Wuse,"₦ 1,700,000","₦1,700,000.00",1700000.0
1295,"₦ 3,570,000/year",Jahi By Gilmore Jahi Abuja,,Shop/office Space,,Jahi,"₦ 3,570,000","₦3,570,000.00",3570000.0
1297,"₦ 2,000,000/year",Naf Valley Estate Asokoro Abuja,,Room Self Contained,Apartment,Asokoro,"₦ 2,000,000","₦2,000,000.00",2000000.0
1298,"₦ 10,000,000/year","Garki Area 2, Garki 1 Abuja",4,Terraced Duplex,Duplex,Garki,"₦ 10,000,000","₦10,000,000.00",10000000.0
1299,"₦ 800,000/year",Gwarinpa Abuja,,Room Self Contain,Apartment,Gwarinpa,"₦ 800,000","₦800,000.00",800000.0
